@relation 1_seq-auslan_10000seq-auslan
@attribute att1 {0, 1}
@attribute att2 {0, 1}
@attribute att3 {0, 1}
@attribute att4 {0, 1}
@attribute att5 {0, 1}
@attribute att6 {0, 1}
@attribute att7 {0, 1}
@attribute att8 {0, 1}
@attribute att9 {0, 1}
@attribute att10 {0, 1}
@attribute att11 {0, 1}
@attribute att12 {0, 1}
@attribute Class {'-9', '-7', '-4', '-3', '-12', '-8', '-6', '-5', '-11', '-10'}


@data
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,1,0,1,1,1,'-8'
1,0,1,0,0,0,0,0,0,1,1,0,'-8'
0,0,1,0,0,0,0,1,0,1,0,1,'-8'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,1,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,1,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,1,0,0,1,0,0,'-9'
0,0,1,0,1,0,1,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,1,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,0,0,1,0,0,'-9'
0,0,1,0,0,0,0,1,0,1,0,1,'-9'
0,0,1,0,0,0,0,0,0,1,0,1,'-10'
0,0,1,0,0,0,0,1,0,1,0,1,'-10'
0,0,1,0,0,0,0,1,0,1,0,1,'-10'
0,0,1,0,0,0,0,1,0,1,0,1,'-10'
0,0,1,0,0,0,0,0,0,1,0,1,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,1,0,1,0,1,'-10'
0,0,1,0,0,0,0,0,0,1,0,1,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-10'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,1,0,1,0,1,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,1,0,1,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,1,0,1,0,1,'-11'
0,0,1,0,0,0,0,0,0,1,0,1,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
0,0,1,0,0,0,0,1,0,1,0,1,'-11'
0,0,1,0,0,0,0,0,0,1,0,1,'-11'
0,0,1,0,0,0,0,0,0,1,0,0,'-11'
1,0,1,0,0,0,0,1,0,1,1,1,'-12'
0,0,1,0,0,0,0,0,0,1,0,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,1,0,1,1,1,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
0,0,1,0,0,0,0,0,0,1,0,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
0,0,1,0,0,0,0,1,0,1,0,1,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,0,1,0,0,0,0,1,0,1,1,1,'-12'
1,0,1,0,0,0,0,1,0,1,1,1,'-12'
1,0,1,0,0,0,0,1,0,1,1,1,'-12'
1,0,1,0,0,0,0,0,0,1,1,0,'-12'
1,1,1,1,0,1,1,0,1,1,1,1,'-12'
