#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

5 -1 4 -1 1 -1 -2	15226	2
1 -1 2 3 -1 -2	7415	4
5 -1 4 5 -1 -2	16940	4
5 -1 5 -1 -2	77235	6
1 3 -1 5 -1 -2	16601	3
1 2 -1 1 -1 -2	21787	13
1 -1 5 -1 -2	61318	12
4 -1 4 -1 5 -1 -2	13898	4
2 5 -1 1 -1 -2	21778	10
1 -1 1 -1 2 -1 -2	23030	11
4 -1 5 -1 3 -1 -2	6666	1
1 -1 3 5 -1 -2	17381	6
1 -1 4 -1 4 -1 -2	12934	6
1 -1 4 -1 1 -1 -2	15765	11
1 -1 4 -1 5 -1 -2	15175	1
4 -1 1 -1 4 -1 -2	12815	2
1 3 5 -1 -2	15903	1
5 -1 3 -1 2 -1 -2	9227	1
3 -1 5 -1 4 -1 -2	6575	1
1 -1 5 -1 1 -1 -2	51936	26
1 3 -1 3 -1 -2	15563	3
1 4 -1 3 -1 -2	6462	2
3 5 -1 6 -1 -2	2418	1
5 -1 3 5 -1 -2	19696	3
3 -1 1 -1 -2	21603	7
3 -1 1 -1 5 -1 -2	17064	4
3 -1 2 3 -1 -2	6936	2
4 -1 1 -1 1 -1 -2	15541	10
1 5 -1 6 -1 -2	5409	2
1 -1 5 -1 2 -1 -2	22200	5
4 -1 1 -1 6 -1 -2	1879	1
5 -1 5 6 -1 -2	5536	2
2 -1 3 -1 3 -1 -2	7660	3
1 -1 3 -1 2 -1 -2	8844	3
2 -1 4 -1 -2	9949	1
4 -1 4 -1 -2	18570	4
1 3 -1 -2	19975	3
1 -1 2 -1 5 -1 -2	21922	5
2 -1 3 4 -1 -2	3100	1
2 -1 2 5 -1 -2	22115	2
4 -1 2 -1 1 -1 -2	8106	4
5 -1 5 -1 5 -1 -2	67993	10
4 -1 1 -1 5 -1 -2	14954	3
4 6 -1 1 -1 -2	1400	1
2 -1 2 -1 1 -1 -2	20151	5
6 -1 1 -1 2 -1 -2	2617	1
1 5 -1 4 -1 -2	16065	3
3 -1 1 -1 2 -1 -2	8737	1
5 -1 2 -1 4 -1 -2	8304	2
5 -1 6 -1 5 -1 -2	5524	1
4 -1 3 -1 1 -1 -2	6331	2
3 -1 1 -1 1 -1 -2	17988	10
2 -1 6 -1 -2	3159	1
1 6 -1 -2	5662	1
5 -1 1 -1 2 -1 -2	22153	2
2 -1 5 -1 -2	29118	2
4 -1 1 4 -1 -2	12958	2
2 -1 1 -1 4 -1 -2	7874	4
4 -1 1 5 -1 -2	15778	7
2 -1 5 -1 4 -1 -2	8216	1
5 -1 3 -1 -2	22905	2
4 -1 5 -1 5 -1 -2	16829	2
1 4 -1 -2	17334	4
2 5 -1 3 -1 -2	9279	3
5 -1 5 -1 1 -1 -2	53691	10
5 -1 1 -1 3 -1 -2	17533	5
3 -1 1 3 -1 -2	15637	5
6 -1 1 5 -1 -2	5228	3
2 -1 2 -1 -2	28506	2
5 -1 6 -1 3 -1 -2	2291	1
6 -1 2 -1 4 -1 -2	1272	1
2 -1 4 -1 2 -1 -2	7136	2
2 -1 4 -1 1 -1 -2	7860	1
5 -1 5 -1 6 -1 -2	5565	1
6 -1 1 -1 1 -1 -2	5255	1
2 5 -1 5 -1 -2	25052	2
1 -1 1 -1 4 -1 -2	16021	5
1 -1 4 -1 2 -1 -2	8067	3
5 -1 2 -1 2 -1 -2	21535	4
2 -1 4 -1 5 -1 -2	8164	1
2 -1 3 5 -1 -2	9368	1
5 -1 4 -1 2 -1 -2	8459	1
1 -1 6 -1 3 -1 -2	2235	1
3 -1 1 -1 4 -1 -2	6261	3
1 -1 2 -1 1 -1 -2	22807	5
5 -1 2 -1 1 -1 -2	22179	3
1 -1 5 -1 6 -1 -2	4972	2
1 -1 3 -1 3 -1 -2	15643	4
2 -1 -2	35459	1
1 4 -1 1 -1 -2	15393	5
1 -1 6 -1 -2	6363	2
3 -1 5 -1 -2	22674	2
1 -1 3 4 -1 -2	5156	3
4 5 -1 2 -1 -2	8682	1
3 -1 5 -1 3 -1 -2	16516	2
1 -1 6 -1 6 -1 -2	3425	1
4 5 -1 1 -1 -2	15060	4
2 3 -1 1 -1 -2	7370	2
2 -1 2 -1 4 -1 -2	7304	2
2 4 -1 2 -1 -2	6354	1
4 -1 1 -1 2 -1 -2	7929	2
1 2 5 -1 -2	19671	3
4 -1 5 -1 -2	19886	1
4 5 -1 5 -1 -2	16908	1
1 -1 6 -1 2 -1 -2	2659	1
3 -1 1 -1 3 -1 -2	15572	3
1 4 -1 4 -1 -2	12915	4
3 5 -1 -2	21740	3
3 -1 2 -1 3 -1 -2	7719	3
2 -1 3 -1 2 -1 -2	7886	2
1 2 -1 5 -1 -2	20731	2
5 6 -1 1 -1 -2	5005	1
6 -1 2 -1 2 -1 -2	2308	2
4 -1 -2	24379	2
5 -1 4 -1 5 -1 -2	17163	3
4 -1 1 3 -1 -2	6456	1
2 5 -1 4 -1 -2	8495	1
2 6 -1 1 -1 -2	2060	2
4 5 -1 3 -1 -2	6889	1
5 -1 4 -1 -2	20126	1
4 -1 1 -1 -2	18786	2
1 3 4 -1 -2	4864	3
3 -1 5 -1 2 -1 -2	9100	3
3 -1 2 -1 1 -1 -2	8685	2
2 -1 1 2 -1 -2	19395	1
3 4 -1 1 -1 -2	5151	1
3 -1 4 5 -1 -2	6793	2
1 5 -1 2 -1 -2	22882	5
2 5 -1 2 -1 -2	22176	4
1 -1 5 -1 3 -1 -2	17464	5
3 5 -1 1 -1 -2	17274	3
1 -1 1 6 -1 -2	5067	2
4 -1 5 -1 4 -1 -2	13706	3
1 -1 2 4 -1 -2	6582	1
2 -1 3 -1 5 -1 -2	8952	2
4 -1 4 -1 1 -1 -2	13060	1
1 2 3 -1 -2	6676	2
6 -1 1 -1 -2	6209	1
1 -1 5 -1 4 -1 -2	15286	3
4 -1 6 -1 1 -1 -2	1883	2
6 -1 4 -1 1 -1 -2	2129	1
5 -1 2 -1 6 -1 -2	2643	1
1 -1 1 -1 6 -1 -2	5350	3
3 -1 3 -1 6 -1 -2	1965	1
1 4 -1 5 -1 -2	14693	2
5 -1 3 -1 6 -1 -2	2275	1
1 4 -1 2 -1 -2	8036	3
2 -1 5 -1 2 -1 -2	21420	2
1 6 -1 3 -1 -2	2229	1
5 -1 1 3 -1 -2	16805	1
2 5 -1 -2	27709	2
5 -1 4 -1 4 -1 -2	13850	1
4 -1 2 -1 5 -1 -2	8384	2
3 -1 2 5 -1 -2	9251	3
3 -1 4 -1 5 -1 -2	6563	2
2 3 5 -1 -2	7272	1
6 -1 1 3 -1 -2	2263	1
4 -1 3 -1 5 -1 -2	6604	1
1 -1 6 -1 1 -1 -2	5288	1
4 -1 2 -1 4 -1 -2	6670	1
5 -1 6 -1 4 -1 -2	2299	1
2 -1 1 5 -1 -2	22467	2
3 -1 3 5 -1 -2	16757	1
1 -1 3 -1 4 -1 -2	6428	1
4 -1 1 2 -1 -2	8038	1
5 -1 5 -1 4 -1 -2	17439	2
4 -1 3 -1 3 -1 -2	5572	1
4 -1 3 5 -1 -2	6938	1
6 -1 2 -1 6 -1 -2	1806	1
2 3 -1 2 -1 -2	6995	2
5 -1 6 -1 1 -1 -2	5071	1
6 -1 5 6 -1 -2	4019	1
1 -1 2 -1 4 -1 -2	7887	1
3 -1 5 -1 5 -1 -2	19541	1
2 3 -1 3 -1 -2	6983	1
4 -1 1 -1 3 -1 -2	6323	1
5 -1 3 -1 3 -1 -2	16695	1
1 3 -1 4 -1 -2	6471	1
3 -1 6 -1 5 -1 -2	2173	1
4 -1 3 -1 4 -1 -2	5443	1
