#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12475 -1 12895 -1 -2	51	1
12903 -1 18547 -1 -2	21	1
12683 -1 35181 -1 -2	37	1
10307 -1 10315 -1 -2	496	1
12479 -1 12895 -1 -2	127	1
12875 -1 12887 -1 -2	50	1
12819 -1 32205 -1 -2	57	1
12895 -1 33429 -1 -2	108	1
12375 -1 12447 -1 -2	47	1
12703 -1 -2	1948	2
12647 -1 12799 -1 -2	23	1
12603 -1 12819 -1 -2	23	1
12487 -1 12795 -1 -2	116	1
10295 -1 -2	2009	1
12647 -1 12739 -1 -2	35	2
18567 -1 18675 -1 -2	28	1
12431 -1 12435 -1 -2	59	1
18555 -1 18619 -1 -2	30	1
12467 -1 18643 -1 -2	22	1
32213 -1 33469 -1 -2	113	1
12891 -1 18583 -1 -2	23	1
12479 -1 12523 -1 -2	47	1
12727 -1 12831 -1 -2	28	1
12859 -1 18571 -1 -2	22	1
12647 -1 33449 -1 -2	60	1
10299 -1 18863 -1 -2	10	1
10315 -1 12523 -1 -2	67	1
12547 -1 12687 -1 -2	19	1
12431 -1 12667 -1 -2	11	1
10307 -1 33445 -1 -2	18	1
12655 -1 12751 -1 -2	18	1
35185 -1 -2	639	1
12847 -1 12875 -1 -2	53	1
35153 -1 46281 -1 -2	24	1
18427 -1 18647 -1 -2	27	1
34905 -1 35177 -1 -2	31	1
12343 -1 12799 -1 -2	30	1
10291 -1 -2	472	1
10335 -1 12823 -1 -2	21	1
12523 -1 35181 -1 -2	35	1
32221 -1 47265 -1 -2	2	1
12439 -1 35181 -1 -2	6	1
12823 -1 12883 -1 -2	51	1
18651 -1 33433 -1 -2	21	1
12887 -1 18571 -1 -2	23	2
18595 -1 18755 -1 -2	33	1
48655 -1 48667 -1 -2	70	1
10331 -1 12819 -1 -2	40	1
12703 -1 32205 -1 -2	149	1
10307 -1 52973 -1 -2	27	1
12621 -1 12783 -1 -2	111	1
12803 -1 18423 -1 -2	22	1
33433 -1 33465 -1 -2	176	1
12451 -1 18647 -1 -2	21	1
12343 -1 35177 -1 -2	40	1
12807 -1 -2	583	2
18631 -1 35197 -1 -2	23	1
10861 -1 12767 -1 -2	26	1
12899 -1 35165 -1 -2	35	1
10295 -1 10315 -1 -2	722	2
10833 -1 12487 -1 -2	19	1
12827 -1 33469 -1 -2	133	1
12531 -1 12831 -1 -2	86	1
12403 -1 18431 -1 -2	25	1
12567 -1 35149 -1 -2	23	1
12871 -1 18679 -1 -2	23	1
34913 -1 35161 -1 -2	37	1
12611 -1 12663 -1 -2	29	1
12495 -1 35169 -1 -2	31	1
12419 -1 18451 -1 -2	22	1
10331 -1 12655 -1 -2	40	1
12695 -1 12827 -1 -2	140	1
18527 -1 18731 -1 -2	19	1
10877 -1 12515 -1 -2	48	1
12827 -1 35197 -1 -2	29	1
12703 -1 12903 -1 -2	52	1
12831 -1 35169 -1 -2	35	1
12463 -1 33437 -1 -2	55	1
12851 -1 46285 -1 -2	18	1
32213 -1 34885 -1 -2	68	2
18703 -1 34929 -1 -2	2	1
35185 -1 46293 -1 -2	19	1
12495 -1 12847 -1 -2	40	1
12683 -1 33449 -1 -2	172	2
32213 -1 54665 -1 -2	14	1
33433 -1 34889 -1 -2	104	1
18663 -1 35181 -1 -2	25	1
12535 -1 34885 -1 -2	10	1
10339 -1 32221 -1 -2	19	1
10849 -1 46281 -1 -2	23	1
12375 -1 12471 -1 -2	29	1
10869 -1 12627 -1 -2	7	1
18719 -1 18723 -1 -2	12	1
12447 -1 12887 -1 -2	28	1
12835 -1 12879 -1 -2	43	1
10315 -1 12751 -1 -2	50	1
12703 -1 33449 -1 -2	193	2
10295 -1 33433 -1 -2	140	1
35177 -1 -2	255	1
18683 -1 33449 -1 -2	23	1
12687 -1 12747 -1 -2	16	1
34885 -1 34921 -1 -2	44	1
12795 -1 52985 -1 -2	1	1
10315 -1 18691 -1 -2	36	1
12527 -1 12695 -1 -2	119	1
34885 -1 34901 -1 -2	115	1
33449 -1 47273 -1 -2	4	1
33457 -1 35149 -1 -2	34	1
12663 -1 12895 -1 -2	258	1
12367 -1 46281 -1 -2	19	1
12467 -1 12667 -1 -2	43	1
46293 -1 -2	138	1
12343 -1 18683 -1 -2	23	1
12607 -1 46289 -1 -2	7	1
12355 -1 35181 -1 -2	59	1
18467 -1 33457 -1 -2	1	1
12491 -1 35165 -1 -2	29	1
12595 -1 18675 -1 -2	8	1
12835 -1 18519 -1 -2	2	1
12487 -1 12551 -1 -2	28	1
12871 -1 18647 -1 -2	21	1
18527 -1 18691 -1 -2	43	1
18655 -1 34921 -1 -2	20	1
10303 -1 10335 -1 -2	29	1
10303 -1 12739 -1 -2	54	1
12647 -1 12655 -1 -2	184	1
12647 -1 18551 -1 -2	3	1
12715 -1 12807 -1 -2	17	1
33469 -1 35197 -1 -2	20	1
12867 -1 35149 -1 -2	34	1
10837 -1 10857 -1 -2	19	1
12347 -1 18831 -1 -2	6	1
12803 -1 18651 -1 -2	22	1
12299 -1 18427 -1 -2	22	1
47953 -1 -2	561	1
18555 -1 34913 -1 -2	21	1
18635 -1 35201 -1 -2	24	1
12335 -1 12419 -1 -2	10	1
12723 -1 33449 -1 -2	72	1
10295 -1 33449 -1 -2	280	1
12735 -1 12891 -1 -2	11	1
12823 -1 18639 -1 -2	20	1
10291 -1 12667 -1 -2	46	1
12703 -1 34893 -1 -2	320	1
10849 -1 35157 -1 -2	31	1
12715 -1 34893 -1 -2	28	1
10319 -1 12883 -1 -2	18	1
12475 -1 12731 -1 -2	5	1
10295 -1 12621 -1 -2	95	1
12679 -1 48667 -1 -2	1	1
18539 -1 18767 -1 -2	29	1
18595 -1 18615 -1 -2	29	1
12755 -1 33469 -1 -2	45	1
33449 -1 35149 -1 -2	43	1
12683 -1 34889 -1 -2	97	1
12755 -1 12823 -1 -2	16	1
12355 -1 12579 -1 -2	23	1
18443 -1 18595 -1 -2	38	1
32201 -1 32213 -1 -2	200	2
12411 -1 -2	797	1
18495 -1 32201 -1 -2	4	1
12687 -1 35181 -1 -2	32	1
12831 -1 32213 -1 -2	68	1
18439 -1 33445 -1 -2	22	1
18551 -1 18671 -1 -2	34	1
10829 -1 18651 -1 -2	23	1
12531 -1 -2	410	1
18515 -1 18639 -1 -2	4	1
12555 -1 18723 -1 -2	13	1
12887 -1 34925 -1 -2	35	1
12475 -1 12487 -1 -2	56	1
18627 -1 18631 -1 -2	33	1
33433 -1 33453 -1 -2	305	1
52973 -1 52977 -1 -2	12	1
12723 -1 33461 -1 -2	7	1
12687 -1 52977 -1 -2	3	1
18563 -1 33437 -1 -2	23	1
12463 -1 12643 -1 -2	25	1
12903 -1 33429 -1 -2	92	1
34929 -1 35209 -1 -2	27	1
12747 -1 34925 -1 -2	9	1
10307 -1 46281 -1 -2	33	1
12575 -1 12895 -1 -2	36	1
12859 -1 18827 -1 -2	2	1
12903 -1 18727 -1 -2	2	1
10315 -1 12719 -1 -2	21	1
12659 -1 12715 -1 -2	29	1
12659 -1 -2	1006	1
12483 -1 12523 -1 -2	64	1
18559 -1 33457 -1 -2	22	1
12879 -1 33441 -1 -2	33	1
12523 -1 18423 -1 -2	25	1
12711 -1 12735 -1 -2	34	1
12299 -1 35189 -1 -2	34	1
12671 -1 33445 -1 -2	7	1
10295 -1 12807 -1 -2	47	1
34893 -1 35185 -1 -2	35	1
18507 -1 18807 -1 -2	6	1
12603 -1 34925 -1 -2	7	1
18551 -1 35181 -1 -2	26	1
12687 -1 12867 -1 -2	47	1
12299 -1 18443 -1 -2	22	1
12587 -1 35169 -1 -2	12	1
12475 -1 35209 -1 -2	27	1
12871 -1 -2	379	1
12903 -1 18583 -1 -2	24	1
18471 -1 18631 -1 -2	4	1
10307 -1 12523 -1 -2	97	1
10833 -1 12595 -1 -2	8	1
33457 -1 35153 -1 -2	33	1
12451 -1 12879 -1 -2	28	1
12403 -1 12427 -1 -2	29	1
18427 -1 35209 -1 -2	22	1
12871 -1 34893 -1 -2	45	1
12343 -1 33445 -1 -2	37	1
18423 -1 18719 -1 -2	8	1
12795 -1 33469 -1 -2	117	1
12467 -1 35169 -1 -2	29	1
12667 -1 32205 -1 -2	33	1
32201 -1 -2	596	1
18539 -1 18571 -1 -2	37	1
18663 -1 18759 -1 -2	26	1
12463 -1 12839 -1 -2	37	1
12699 -1 12895 -1 -2	16	1
12803 -1 12807 -1 -2	64	1
10861 -1 18459 -1 -2	24	1
12851 -1 35209 -1 -2	30	1
12367 -1 34901 -1 -2	34	1
12375 -1 35197 -1 -2	29	1
10295 -1 32221 -1 -2	47	1
33429 -1 35193 -1 -2	28	1
12695 -1 32205 -1 -2	139	1
12519 -1 12647 -1 -2	2	1
12691 -1 12847 -1 -2	55	1
10327 -1 12803 -1 -2	17	1
12727 -1 12755 -1 -2	57	1
10315 -1 12703 -1 -2	330	2
12411 -1 12451 -1 -2	73	1
12711 -1 12731 -1 -2	39	1
10327 -1 12463 -1 -2	15	1
10311 -1 12691 -1 -2	102	1
32213 -1 -2	1616	1
12621 -1 12699 -1 -2	7	1
10311 -1 -2	2371	3
35177 -1 35185 -1 -2	84	1
12479 -1 12627 -1 -2	60	1
12903 -1 35149 -1 -2	31	1
12403 -1 18635 -1 -2	28	1
10295 -1 12819 -1 -2	202	1
12807 -1 18875 -1 -2	1	1
10299 -1 12511 -1 -2	2	1
12331 -1 12511 -1 -2	6	1
10307 -1 12743 -1 -2	73	1
18611 -1 18759 -1 -2	25	1
10311 -1 12703 -1 -2	576	1
12879 -1 35161 -1 -2	34	1
18551 -1 18651 -1 -2	26	1
12683 -1 33425 -1 -2	70	1
12583 -1 18727 -1 -2	5	1
12567 -1 18507 -1 -2	10	1
12411 -1 12767 -1 -2	10	1
10319 -1 12847 -1 -2	7	1
18599 -1 34901 -1 -2	23	1
10307 -1 33449 -1 -2	228	1
12679 -1 12883 -1 -2	48	1
12299 -1 -2	562	1
12375 -1 35205 -1 -2	32	1
12395 -1 12863 -1 -2	29	1
18519 -1 18727 -1 -2	6	1
12687 -1 18719 -1 -2	3	1
10829 -1 12343 -1 -2	41	1
18619 -1 -2	457	2
12475 -1 46293 -1 -2	20	1
12851 -1 35189 -1 -2	31	1
12463 -1 12735 -1 -2	19	1
12407 -1 12851 -1 -2	27	1
12411 -1 12527 -1 -2	32	1
12567 -1 -2	890	1
10339 -1 12767 -1 -2	20	1
33449 -1 -2	3658	1
12395 -1 12451 -1 -2	45	1
12835 -1 12891 -1 -2	47	1
10849 -1 33465 -1 -2	35	1
12523 -1 12711 -1 -2	9	1
12807 -1 46293 -1 -2	22	1
12691 -1 33469 -1 -2	130	1
12495 -1 48651 -1 -2	1	1
12483 -1 -2	2049	2
12835 -1 35165 -1 -2	31	1
18583 -1 18683 -1 -2	33	1
12687 -1 34901 -1 -2	70	2
12667 -1 33433 -1 -2	27	1
12535 -1 12691 -1 -2	28	1
12679 -1 12739 -1 -2	40	1
12495 -1 12763 -1 -2	22	1
18691 -1 -2	467	1
12471 -1 12607 -1 -2	9	1
10291 -1 12621 -1 -2	33	1
12771 -1 48679 -1 -2	6	1
10861 -1 12407 -1 -2	31	1
18451 -1 35157 -1 -2	24	1
12419 -1 18611 -1 -2	24	1
12859 -1 12887 -1 -2	63	1
18543 -1 18731 -1 -2	9	1
12687 -1 12895 -1 -2	98	1
12807 -1 35181 -1 -2	32	1
12695 -1 12795 -1 -2	154	1
12339 -1 35213 -1 -2	45	1
12483 -1 12871 -1 -2	57	1
12343 -1 35193 -1 -2	28	1
12375 -1 18451 -1 -2	22	1
12743 -1 18663 -1 -2	4	1
12527 -1 12879 -1 -2	48	1
12795 -1 12819 -1 -2	307	2
35153 -1 35177 -1 -2	69	1
12371 -1 12879 -1 -2	29	1
12687 -1 18707 -1 -2	15	1
10303 -1 12631 -1 -2	35	1
12551 -1 18787 -1 -2	14	1
12395 -1 18427 -1 -2	26	1
12531 -1 33437 -1 -2	51	1
12459 -1 34897 -1 -2	49	1
12655 -1 12679 -1 -2	43	1
18447 -1 33433 -1 -2	26	1
12611 -1 -2	587	1
12415 -1 18547 -1 -2	3	1
47965 -1 56635 -1 -2	1	1
12823 -1 18611 -1 -2	25	1
30283 -1 54657 -1 -2	11	1
10833 -1 34917 -1 -2	9	1
12655 -1 12695 -1 -2	80	1
12895 -1 -2	3623	2
10315 -1 34909 -1 -2	6	1
10829 -1 35189 -1 -2	30	1
12483 -1 12571 -1 -2	124	1
12403 -1 18459 -1 -2	26	1
12491 -1 32217 -1 -2	16	1
12799 -1 12827 -1 -2	67	1
18571 -1 18671 -1 -2	26	1
12819 -1 12831 -1 -2	213	2
12531 -1 12535 -1 -2	51	1
10829 -1 18671 -1 -2	26	1
12887 -1 32209 -1 -2	10	1
12575 -1 48643 -1 -2	4	1
12627 -1 12723 -1 -2	43	1
34885 -1 54669 -1 -2	25	1
12831 -1 12895 -1 -2	250	1
12899 -1 18419 -1 -2	22	1
12483 -1 12827 -1 -2	154	1
34929 -1 46281 -1 -2	30	1
10833 -1 10857 -1 -2	24	1
18743 -1 34889 -1 -2	22	1
12575 -1 12875 -1 -2	84	1
12399 -1 18743 -1 -2	23	1
12407 -1 12887 -1 -2	31	1
18643 -1 35205 -1 -2	23	1
12843 -1 33429 -1 -2	46	1
12875 -1 33429 -1 -2	59	1
12431 -1 -2	1198	1
12495 -1 12687 -1 -2	66	1
10311 -1 12611 -1 -2	57	1
12863 -1 -2	158	1
10877 -1 34909 -1 -2	25	1
12683 -1 34901 -1 -2	85	1
18659 -1 34897 -1 -2	21	1
12691 -1 12855 -1 -2	91	1
12687 -1 12903 -1 -2	46	1
12611 -1 32205 -1 -2	40	1
12351 -1 12831 -1 -2	9	1
18763 -1 33433 -1 -2	22	1
12475 -1 12867 -1 -2	36	1
12743 -1 12907 -1 -2	12	1
18439 -1 18675 -1 -2	30	1
10307 -1 10311 -1 -2	621	2
10311 -1 46289 -1 -2	17	1
18439 -1 35161 -1 -2	24	1
18767 -1 35193 -1 -2	23	1
10845 -1 32201 -1 -2	8	1
10861 -1 35205 -1 -2	28	1
12783 -1 12787 -1 -2	142	1
12571 -1 12743 -1 -2	21	1
18635 -1 18827 -1 -2	3	1
12431 -1 18871 -1 -2	14	1
18555 -1 46285 -1 -2	10	1
12683 -1 12851 -1 -2	46	1
33429 -1 34929 -1 -2	40	1
12523 -1 33453 -1 -2	62	2
12491 -1 34885 -1 -2	58	1
10845 -1 -2	148	1
12823 -1 18787 -1 -2	3	1
12463 -1 -2	797	1
18547 -1 18863 -1 -2	29	1
34889 -1 35153 -1 -2	34	1
33453 -1 35205 -1 -2	29	1
10841 -1 18715 -1 -2	2	1
12399 -1 -2	320	1
12903 -1 18443 -1 -2	24	1
10861 -1 33465 -1 -2	42	1
46285 -1 -2	150	1
12547 -1 -2	471	1
10861 -1 18603 -1 -2	24	1
12475 -1 33457 -1 -2	33	1
18639 -1 18647 -1 -2	32	1
10299 -1 32213 -1 -2	52	1
10849 -1 18583 -1 -2	24	1
33449 -1 33453 -1 -2	281	1
12575 -1 12611 -1 -2	20	1
12827 -1 34905 -1 -2	61	1
10315 -1 -2	3449	2
18587 -1 18763 -1 -2	27	1
12859 -1 33449 -1 -2	32	1
12523 -1 12531 -1 -2	160	1
12683 -1 33429 -1 -2	82	1
10849 -1 12495 -1 -2	38	1
32213 -1 33433 -1 -2	43	1
10849 -1 18439 -1 -2	30	1
12691 -1 34925 -1 -2	35	1
12323 -1 12787 -1 -2	3	1
18431 -1 35209 -1 -2	22	1
12703 -1 12819 -1 -2	93	1
18587 -1 18671 -1 -2	42	1
12467 -1 12787 -1 -2	21	1
18879 -1 32209 -1 -2	7	1
12403 -1 35205 -1 -2	36	1
12807 -1 35185 -1 -2	31	1
12799 -1 34901 -1 -2	40	1
18675 -1 18751 -1 -2	30	1
12403 -1 12495 -1 -2	33	1
12571 -1 12695 -1 -2	56	1
12803 -1 35197 -1 -2	32	2
12811 -1 18583 -1 -2	2	1
12621 -1 12763 -1 -2	57	1
12339 -1 35185 -1 -2	251	1
12839 -1 18599 -1 -2	23	1
12531 -1 12819 -1 -2	56	2
12743 -1 18879 -1 -2	4	1
18679 -1 33449 -1 -2	22	1
12367 -1 12803 -1 -2	30	1
18863 -1 34921 -1 -2	2	1
12735 -1 12779 -1 -2	114	1
18595 -1 18683 -1 -2	37	1
12691 -1 -2	1002	1
12855 -1 35149 -1 -2	30	1
12659 -1 35169 -1 -2	10	1
12895 -1 33449 -1 -2	345	1
12715 -1 12759 -1 -2	108	1
10853 -1 12527 -1 -2	36	1
12855 -1 12859 -1 -2	40	1
12399 -1 12471 -1 -2	28	1
10849 -1 18543 -1 -2	23	1
12571 -1 18643 -1 -2	4	1
18583 -1 32221 -1 -2	3	1
12695 -1 33465 -1 -2	75	1
10841 -1 12659 -1 -2	20	1
12719 -1 12859 -1 -2	7	1
12547 -1 12747 -1 -2	8	1
12327 -1 -2	294	1
12339 -1 48663 -1 -2	44	1
12475 -1 12631 -1 -2	9	1
12407 -1 18543 -1 -2	23	1
12779 -1 12787 -1 -2	107	1
12423 -1 35209 -1 -2	2	1
12647 -1 12879 -1 -2	15	1
12631 -1 12907 -1 -2	8	1
18431 -1 18651 -1 -2	27	1
12621 -1 32205 -1 -2	55	1
12763 -1 12871 -1 -2	23	1
35209 -1 -2	117	1
18419 -1 18611 -1 -2	41	1
10299 -1 32221 -1 -2	13	1
10869 -1 12515 -1 -2	5	1
10307 -1 10335 -1 -2	158	1
10315 -1 12611 -1 -2	87	1
12467 -1 18559 -1 -2	25	1
10857 -1 12571 -1 -2	23	1
10853 -1 12355 -1 -2	43	1
48691 -1 48695 -1 -2	14	1
10865 -1 35185 -1 -2	31	1
12327 -1 12747 -1 -2	6	1
12495 -1 12695 -1 -2	102	1
10291 -1 12683 -1 -2	57	1
12819 -1 35165 -1 -2	8	1
12771 -1 33469 -1 -2	38	1
18427 -1 34929 -1 -2	21	1
12795 -1 12895 -1 -2	228	1
12487 -1 12875 -1 -2	432	2
12723 -1 12835 -1 -2	14	1
34913 -1 46293 -1 -2	24	1
12395 -1 47695 -1 -2	11	1
12395 -1 34901 -1 -2	33	1
18759 -1 34917 -1 -2	21	1
12355 -1 18615 -1 -2	24	1
10311 -1 33433 -1 -2	78	1
12327 -1 12347 -1 -2	23	1
12359 -1 12631 -1 -2	4	1
18431 -1 18439 -1 -2	27	1
10833 -1 12395 -1 -2	8	1
10335 -1 30319 -1 -2	16	1
12723 -1 12731 -1 -2	116	1
12411 -1 12547 -1 -2	17	1
12411 -1 34885 -1 -2	32	1
12367 -1 35197 -1 -2	29	1
33437 -1 33457 -1 -2	73	1
18571 -1 33425 -1 -2	21	1
12459 -1 32201 -1 -2	21	1
12715 -1 12775 -1 -2	41	1
12763 -1 18695 -1 -2	5	1
12879 -1 18447 -1 -2	23	1
12399 -1 12867 -1 -2	28	1
12903 -1 18419 -1 -2	21	1
12735 -1 12771 -1 -2	66	1
12459 -1 18715 -1 -2	3	1
10299 -1 12571 -1 -2	23	1
12443 -1 12831 -1 -2	29	1
10853 -1 18539 -1 -2	22	1
12731 -1 35213 -1 -2	2	1
12475 -1 12695 -1 -2	47	1
12591 -1 18779 -1 -2	4	1
33433 -1 34925 -1 -2	42	1
12867 -1 33465 -1 -2	35	1
30283 -1 -2	40	1
12731 -1 18491 -1 -2	5	1
12679 -1 33465 -1 -2	53	1
12831 -1 18707 -1 -2	10	1
12621 -1 18495 -1 -2	5	1
10865 -1 12527 -1 -2	44	1
12431 -1 33425 -1 -2	33	1
12611 -1 12799 -1 -2	5	1
12679 -1 35153 -1 -2	35	1
10295 -1 12695 -1 -2	336	1
10307 -1 12527 -1 -2	104	1
12403 -1 -2	411	1
12607 -1 18427 -1 -2	6	1
18627 -1 34889 -1 -2	23	1
18643 -1 33453 -1 -2	23	1
33457 -1 34897 -1 -2	46	1
33437 -1 52977 -1 -2	6	1
12779 -1 12895 -1 -2	78	1
32205 -1 54665 -1 -2	13	1
12483 -1 12703 -1 -2	337	3
33433 -1 33437 -1 -2	116	1
12903 -1 52985 -1 -2	1	1
12903 -1 46285 -1 -2	18	1
10303 -1 -2	461	1
12483 -1 34909 -1 -2	42	1
34885 -1 -2	937	1
18447 -1 18603 -1 -2	41	1
12387 -1 12787 -1 -2	2	1
18647 -1 34913 -1 -2	21	1
12663 -1 12711 -1 -2	14	1
18563 -1 18567 -1 -2	34	1
10307 -1 18707 -1 -2	25	1
33449 -1 33469 -1 -2	1204	1
12467 -1 12827 -1 -2	50	1
12343 -1 33465 -1 -2	37	1
33461 -1 -2	173	1
12483 -1 12487 -1 -2	877	1
12815 -1 34925 -1 -2	9	1
18579 -1 18699 -1 -2	4	1
10849 -1 35177 -1 -2	29	1
12463 -1 18643 -1 -2	20	1
12851 -1 18759 -1 -2	22	1
12719 -1 12735 -1 -2	42	1
10833 -1 32213 -1 -2	17	1
18451 -1 18599 -1 -2	32	1
12355 -1 12547 -1 -2	39	1
10857 -1 12703 -1 -2	57	1
12523 -1 18587 -1 -2	24	1
12627 -1 18691 -1 -2	9	1
18631 -1 18759 -1 -2	26	1
10315 -1 12487 -1 -2	381	1
30283 -1 54673 -1 -2	17	1
12755 -1 18443 -1 -2	5	1
10331 -1 12759 -1 -2	42	1
12759 -1 18563 -1 -2	8	1
12807 -1 34897 -1 -2	42	1
10299 -1 18815 -1 -2	3	1
18847 -1 34921 -1 -2	2	1
18559 -1 35153 -1 -2	24	1
10339 -1 12479 -1 -2	31	1
12491 -1 18419 -1 -2	22	1
12551 -1 18723 -1 -2	6	1
