#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

6 -1 3 -1 1 -1 -2	2174	1
1 -1 5 -1 2 -1 -2	22200	2
4 -1 1 -1 1 -1 5 -1 -2	11937	1
1 -1 5 -1 3 -1 -2	17464	1
1 2 -1 5 -1 -2	20731	1
5 -1 3 -1 5 -1 -2	19850	1
1 -1 3 -1 5 -1 1 -1 1 -1 -2	10474	1
1 5 -1 1 2 -1 -2	19134	1
2 -1 2 -1 5 -1 -2	21810	2
1 -1 1 -1 1 5 6 -1 -2	3584	1
2 3 -1 1 -1 4 -1 1 -1 -2	2326	1
1 5 -1 4 -1 -2	16065	1
1 -1 2 -1 1 4 -1 -2	6752	1
1 -1 3 5 -1 -2	17381	1
4 -1 6 -1 -2	2377	1
1 2 -1 3 -1 -2	8780	1
2 -1 5 -1 2 -1 -2	21420	1
1 -1 1 -1 5 -1 1 -1 -2	41831	1
4 -1 4 -1 3 -1 5 -1 -2	4308	1
2 -1 1 -1 2 -1 -2	19521	1
1 -1 1 2 -1 4 -1 -2	6852	1
4 -1 2 4 -1 5 -1 -2	4917	1
2 -1 1 3 -1 -2	8776	1
1 -1 3 -1 3 -1 3 -1 -2	10315	1
3 -1 3 -1 5 -1 -2	16461	1
1 -1 1 -1 4 -1 1 -1 1 -1 -2	9681	1
6 -1 4 -1 -2	2647	1
1 -1 1 -1 1 2 -1 -2	18995	1
2 -1 5 -1 5 -1 3 -1 -2	7581	1
