#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

12679 -1 -2	1788	118
12551 -1 -2	527	28
12471 -1 12859 -1 33449 -1 -2	29	1
10311 -1 -2	2371	124
12407 -1 -2	756	46
32201 -1 -2	596	36
18763 -1 -2	43	3
12695 -1 -2	1422	95
12691 -1 -2	1002	77
12855 -1 -2	436	31
12835 -1 -2	533	25
10861 -1 35201 -1 35205 -1 -2	28	1
12555 -1 -2	477	24
18811 -1 -2	110	9
35185 -1 -2	639	43
18659 -1 -2	97	5
12495 -1 -2	543	35
12731 -1 -2	345	20
12355 -1 -2	1089	69
10861 -1 -2	469	32
18875 -1 -2	78	6
12663 -1 12691 -1 -2	66	1
12347 -1 -2	275	14
10865 -1 -2	295	16
12339 -1 -2	910	78
12675 -1 -2	553	35
12843 -1 -2	396	22
12803 -1 33469 -1 -2	41	1
10315 -1 12419 -1 12771 -1 18779 -1 18863 -1 -2	2	1
12687 -1 -2	724	55
48667 -1 -2	491	35
34909 -1 -2	257	27
12663 -1 12675 -1 -2	81	1
12715 -1 54673 -1 -2	8	1
18855 -1 -2	334	23
12407 -1 18871 -1 -2	7	1
12759 -1 -2	845	51
12907 -1 -2	448	33
48671 -1 -2	197	6
47973 -1 -2	337	31
18443 -1 -2	126	7
52985 -1 -2	15	1
18475 -1 -2	81	7
12627 -1 -2	781	43
12571 -1 -2	676	50
12367 -1 12823 -1 -2	28	1
48655 -1 -2	189	12
18535 -1 -2	43	5
12595 -1 -2	219	17
48707 -1 -2	335	21
34893 -1 -2	1201	69
12767 -1 -2	409	31
47293 -1 -2	94	2
12343 -1 20803 -1 -2	1	1
46289 -1 -2	193	9
10339 -1 10865 -1 -2	16	1
18695 -1 -2	177	18
18707 -1 -2	412	31
46285 -1 -2	150	11
18571 -1 18599 -1 -2	26	1
34901 -1 -2	617	35
10849 -1 18459 -1 18615 -1 -2	22	1
18831 -1 -2	410	12
12507 -1 12563 -1 -2	6	1
12847 -1 -2	473	26
32221 -1 -2	233	19
12323 -1 -2	167	17
12883 -1 18639 -1 18675 -1 -2	23	1
18515 -1 -2	35	3
47949 -1 -2	512	27
18563 -1 33445 -1 -2	23	1
18611 -1 18651 -1 -2	31	1
12447 -1 33457 -1 -2	34	1
18603 -1 -2	230	17
10841 -1 -2	328	10
48675 -1 -2	587	40
47269 -1 -2	77	7
12859 -1 -2	152	9
47683 -1 -2	18	1
47965 -1 -2	329	20
34917 -1 -2	247	13
18871 -1 -2	394	30
12343 -1 -2	267	15
18655 -1 -2	58	4
12667 -1 -2	570	37
12331 -1 -2	208	20
12879 -1 -2	410	29
12743 -1 -2	462	23
47285 -1 -2	73	5
47281 -1 -2	70	5
10893 -1 -2	36	5
47945 -1 -2	620	27
12763 -1 -2	696	46
32197 -1 -2	280	18
12703 -1 12855 -1 -2	51	1
10303 -1 12887 -1 -2	13	1
18595 -1 -2	128	7
48703 -1 -2	103	5
33429 -1 -2	600	35
18511 -1 46285 -1 47273 -1 -2	1	1
12299 -1 12343 -1 -2	44	1
12715 -1 -2	1214	55
12507 -1 -2	113	4
18583 -1 -2	122	10
12607 -1 -2	365	21
12527 -1 -2	463	26
12767 -1 18427 -1 18495 -1 18731 -1 34917 -1 35181 -1 -2	1	1
18863 -1 -2	863	39
12459 -1 -2	345	29
48711 -1 -2	187	11
12875 -1 -2	1355	86
48663 -1 -2	284	27
12579 -1 -2	244	18
10857 -1 12679 -1 -2	43	1
48639 -1 -2	121	6
12591 -1 -2	264	9
12875 -1 18631 -1 34917 -1 -2	21	1
12487 -1 12763 -1 -2	61	1
18839 -1 -2	37	4
12519 -1 -2	159	13
10833 -1 -2	310	19
51937 -1 -2	60	4
12795 -1 -2	908	56
12447 -1 -2	388	25
18419 -1 -2	90	5
12871 -1 -2	379	18
12399 -1 -2	320	28
12787 -1 -2	440	29
12439 -1 -2	296	24
12839 -1 35181 -1 -2	28	1
12471 -1 -2	230	13
34921 -1 -2	336	17
18647 -1 -2	67	3
48687 -1 -2	163	12
18411 -1 -2	78	6
12883 -1 -2	498	31
12531 -1 -2	410	20
12531 -1 12715 -1 -2	18	1
18715 -1 -2	49	3
10861 -1 18523 -1 -2	5	1
18483 -1 -2	72	3
18643 -1 -2	204	15
32205 -1 33469 -1 -2	117	1
12855 -1 34889 -1 -2	39	1
12683 -1 12703 -1 -2	248	2
18723 -1 -2	319	21
12335 -1 -2	204	8
54657 -1 -2	133	9
33441 -1 33449 -1 -2	109	1
12451 -1 -2	314	25
12487 -1 12695 -1 -2	256	1
18563 -1 -2	198	13
12863 -1 33425 -1 -2	32	1
12487 -1 12875 -1 -2	432	1
54661 -1 -2	251	17
18487 -1 -2	218	13
12339 -1 12387 -1 -2	134	2
12395 -1 -2	294	28
18499 -1 -2	260	20
47957 -1 -2	627	29
48575 -1 -2	241	23
12475 -1 -2	207	13
18439 -1 -2	96	8
18787 -1 -2	736	41
12811 -1 -2	129	8
34929 -1 -2	319	17
47265 -1 -2	70	8
12867 -1 -2	483	33
18571 -1 -2	63	3
10299 -1 -2	721	41
10343 -1 -2	90	4
10829 -1 12827 -1 18619 -1 -2	25	1
10335 -1 34885 -1 -2	34	1
12443 -1 -2	137	8
18631 -1 -2	66	4
18543 -1 34925 -1 -2	22	1
12551 -1 18735 -1 -2	5	1
12539 -1 -2	100	7
12621 -1 32213 -1 -2	53	1
18451 -1 -2	69	7
12367 -1 12907 -1 -2	3	1
12467 -1 -2	474	23
33469 -1 46285 -1 -2	83	1
12495 -1 12551 -1 32197 -1 -2	3	1
52421 -1 -2	4	2
12495 -1 12691 -1 -2	97	1
12711 -1 -2	521	30
18587 -1 -2	221	10
18691 -1 -2	467	33
12515 -1 -2	410	18
30335 -1 -2	25	3
33425 -1 -2	405	26
10315 -1 12831 -1 -2	225	1
18795 -1 -2	178	9
48679 -1 -2	153	12
18883 -1 -2	175	11
18779 -1 -2	141	5
52941 -1 -2	15	1
18767 -1 -2	83	3
48699 -1 -2	109	8
12375 -1 -2	110	6
12387 -1 12583 -1 -2	6	1
34889 -1 34901 -1 -2	248	1
35177 -1 -2	255	20
54645 -1 -2	85	6
10829 -1 12795 -1 -2	42	1
18523 -1 18555 -1 18883 -1 -2	5	1
18639 -1 -2	77	6
47961 -1 -2	191	19
12891 -1 -2	209	16
12531 -1 35161 -1 -2	34	1
48659 -1 -2	139	14
12427 -1 -2	211	13
10291 -1 -2	472	23
12875 -1 47261 -1 -2	1	1
35193 -1 -2	113	6
32205 -1 51937 -1 -2	8	1
12755 -1 -2	652	34
47289 -1 -2	99	11
12367 -1 -2	383	20
35197 -1 -2	94	7
12663 -1 12683 -1 -2	89	1
54669 -1 -2	152	7
56069 -1 -2	22	1
12403 -1 -2	411	16
12351 -1 -2	192	9
10861 -1 12523 -1 18567 -1 -2	23	1
12563 -1 -2	242	16
18819 -1 -2	93	8
12431 -1 -2	1198	57
18527 -1 -2	300	16
12895 -1 18679 -1 -2	25	1
18599 -1 -2	165	18
52973 -1 -2	184	8
12723 -1 18875 -1 -2	6	1
12659 -1 47261 -1 -2	1	1
18807 -1 -2	77	6
18611 -1 -2	129	9
12567 -1 18439 -1 35153 -1 -2	2	1
46293 -1 -2	138	8
30327 -1 54665 -1 -2	6	1
12887 -1 -2	308	22
18427 -1 18875 -1 18879 -1 -2	3	1
12839 -1 -2	256	10
12535 -1 12539 -1 18707 -1 -2	2	1
30299 -1 -2	7	2
48643 -1 48691 -1 -2	22	1
10315 -1 12611 -1 -2	87	1
12747 -1 -2	511	29
12403 -1 12451 -1 12471 -1 -2	27	1
18671 -1 -2	128	6
34905 -1 -2	723	42
33457 -1 -2	206	16
12835 -1 18635 -1 18763 -1 -2	22	1
12851 -1 32197 -1 -2	5	1
18751 -1 -2	56	4
12615 -1 -2	237	13
10849 -1 10857 -1 -2	67	1
18567 -1 -2	65	4
12831 -1 12847 -1 34901 -1 -2	29	1
12851 -1 -2	209	9
12647 -1 -2	411	17
18675 -1 -2	234	16
12439 -1 12531 -1 -2	4	1
18683 -1 -2	211	10
12831 -1 35193 -1 -2	28	1
18479 -1 -2	90	5
35181 -1 -2	290	15
12483 -1 12795 -1 -2	103	1
10311 -1 12567 -1 12663 -1 -2	10	1
34913 -1 -2	291	17
10331 -1 12819 -1 -2	40	1
33469 -1 34913 -1 -2	28	1
12799 -1 18571 -1 -2	21	1
12715 -1 33449 -1 -2	67	1
12735 -1 -2	439	25
54665 -1 -2	143	6
18523 -1 -2	182	13
18427 -1 34905 -1 -2	24	1
12563 -1 18519 -1 18819 -1 -2	1	1
10857 -1 -2	448	28
54685 -1 -2	9	2
12583 -1 -2	229	14
10303 -1 32209 -1 34897 -1 -2	8	1
18799 -1 -2	140	10
12859 -1 33437 -1 -2	32	1
10299 -1 12347 -1 -2	9	1
12767 -1 12783 -1 -2	26	1
33433 -1 33469 -1 -2	509	2
48647 -1 -2	42	3
35169 -1 -2	272	12
10869 -1 -2	109	4
12399 -1 18751 -1 -2	23	1
12363 -1 -2	15	1
18471 -1 -2	68	4
12871 -1 18659 -1 -2	21	1
10307 -1 12663 -1 -2	193	1
18507 -1 -2	202	13
12559 -1 35153 -1 -2	19	1
12355 -1 34905 -1 -2	42	1
12483 -1 12799 -1 18547 -1 -2	20	1
33449 -1 33453 -1 -2	281	1
56037 -1 -2	4	1
12843 -1 18571 -1 33449 -1 -2	1	1
18567 -1 34921 -1 -2	21	1
18431 -1 18819 -1 27389 -1 -2	3	1
12611 -1 12827 -1 -2	33	1
12387 -1 -2	151	10
12587 -1 -2	223	14
32217 -1 -2	152	12
12799 -1 -2	181	4
10327 -1 -2	232	18
18451 -1 18763 -1 35161 -1 -2	24	1
30327 -1 -2	27	3
18579 -1 18695 -1 -2	4	1
12691 -1 32213 -1 -2	66	1
18651 -1 -2	101	6
10319 -1 -2	149	6
33461 -1 -2	173	5
12399 -1 12899 -1 18571 -1 34929 -1 -2	20	1
35161 -1 -2	148	9
12691 -1 12807 -1 -2	68	1
12547 -1 12555 -1 12715 -1 18467 -1 18711 -1 35165 -1 -2	1	1
34921 -1 35193 -1 -2	28	1
12343 -1 12891 -1 -2	30	1
18427 -1 -2	439	32
12719 -1 -2	377	27
10299 -1 12415 -1 12723 -1 18475 -1 18539 -1 18875 -1 -2	2	1
10339 -1 18699 -1 -2	2	1
12491 -1 18487 -1 -2	3	1
48695 -1 -2	67	6
18499 -1 18523 -1 -2	15	1
12803 -1 -2	273	12
12779 -1 33425 -1 -2	32	1
18495 -1 -2	47	4
56423 -1 -2	15	4
51929 -1 -2	58	3
12439 -1 12679 -1 18619 -1 -2	5	1
18847 -1 -2	166	8
18543 -1 -2	87	9
54653 -1 -2	173	8
10315 -1 10343 -1 12463 -1 12847 -1 -2	2	1
10845 -1 -2	148	9
12539 -1 32213 -1 -2	14	1
10331 -1 12771 -1 -2	27	1
18615 -1 -2	92	8
12511 -1 -2	86	5
10295 -1 10311 -1 30327 -1 -2	2	1
12823 -1 35169 -1 -2	30	1
12863 -1 -2	158	8
12659 -1 12831 -1 30311 -1 32213 -1 -2	1	1
12495 -1 12839 -1 -2	38	1
12435 -1 -2	110	8
10315 -1 47945 -1 -2	20	1
18555 -1 -2	84	2
12855 -1 12883 -1 33433 -1 -2	27	1
10849 -1 -2	318	18
33453 -1 34893 -1 -2	58	1
18571 -1 18627 -1 -2	25	1
12839 -1 35165 -1 -2	29	1
52961 -1 -2	32	2
18755 -1 -2	105	7
12823 -1 18423 -1 -2	22	1
12487 -1 12567 -1 -2	26	1
48683 -1 -2	186	9
10295 -1 32209 -1 -2	98	1
35157 -1 -2	212	16
12651 -1 -2	196	8
12431 -1 12823 -1 -2	31	1
12723 -1 18479 -1 35169 -1 -2	2	1
10829 -1 12679 -1 -2	42	1
12527 -1 12831 -1 -2	91	1
52949 -1 -2	20	1
18459 -1 -2	180	6
52957 -1 -2	27	2
12827 -1 18539 -1 35185 -1 -2	22	1
12483 -1 12487 -1 -2	877	1
12399 -1 12483 -1 -2	33	1
12491 -1 12667 -1 -2	58	1
54673 -1 -2	233	13
12355 -1 54673 -1 -2	4	1
12699 -1 -2	82	2
10315 -1 12479 -1 -2	163	1
12547 -1 12799 -1 12823 -1 12867 -1 18775 -1 -2	1	1
48643 -1 -2	93	4
46281 -1 -2	201	10
12407 -1 12855 -1 -2	27	1
12419 -1 35153 -1 -2	32	1
12531 -1 18431 -1 18451 -1 -2	23	1
12603 -1 34929 -1 -2	8	1
10841 -1 12327 -1 12343 -1 12399 -1 12567 -1 18491 -1 -2	1	1
18735 -1 -2	89	5
18419 -1 18755 -1 33453 -1 -2	21	1
12627 -1 12727 -1 -2	16	1
47261 -1 -2	48	1
12703 -1 32213 -1 -2	571	1
12467 -1 12831 -1 -2	49	1
12895 -1 34897 -1 -2	117	1
12495 -1 12587 -1 -2	3	1
12695 -1 34909 -1 -2	36	1
34889 -1 34929 -1 -2	46	1
12331 -1 12659 -1 -2	12	1
10331 -1 33449 -1 -2	107	1
10861 -1 35165 -1 -2	36	1
10315 -1 46289 -1 -2	17	1
33449 -1 34921 -1 -2	39	1
10833 -1 18875 -1 -2	3	1
12603 -1 47945 -1 -2	2	1
12571 -1 12815 -1 12819 -1 18875 -1 33437 -1 35161 -1 -2	3	1
47695 -1 -2	92	4
12471 -1 18755 -1 -2	21	1
18447 -1 34921 -1 35169 -1 -2	21	1
18679 -1 18759 -1 33449 -1 -2	21	1
10315 -1 32201 -1 -2	129	1
12703 -1 12895 -1 -2	252	1
10343 -1 12759 -1 -2	10	1
18431 -1 33449 -1 -2	24	1
18427 -1 33441 -1 -2	23	1
18611 -1 18659 -1 34885 -1 34909 -1 -2	20	1
10315 -1 18487 -1 18719 -1 -2	3	1
10849 -1 32197 -1 -2	11	1
30263 -1 -2	23	1
18571 -1 18831 -1 -2	3	1
18679 -1 -2	77	3
12595 -1 48651 -1 -2	5	1
18415 -1 -2	22	3
12559 -1 12735 -1 -2	12	1
12571 -1 18563 -1 -2	3	1
12547 -1 12591 -1 12811 -1 -2	3	1
12759 -1 12787 -1 -2	50	1
12795 -1 35193 -1 35205 -1 -2	30	1
10307 -1 34901 -1 -2	47	1
30323 -1 -2	22	3
18519 -1 -2	46	5
33429 -1 33449 -1 -2	262	1
18543 -1 18655 -1 34893 -1 -2	21	1
18551 -1 18767 -1 -2	33	1
18635 -1 -2	167	13
12375 -1 18571 -1 34897 -1 34913 -1 -2	20	1
33441 -1 35169 -1 -2	34	1
12655 -1 12695 -1 -2	80	1
12523 -1 12771 -1 -2	26	1
12795 -1 35189 -1 -2	31	1
12535 -1 12779 -1 -2	19	1
12555 -1 12559 -1 -2	82	1
10307 -1 10311 -1 -2	621	2
56065 -1 -2	19	2
12823 -1 18615 -1 18743 -1 -2	20	1
47957 -1 56699 -1 -2	5	1
56699 -1 -2	15	1
12395 -1 12487 -1 12807 -1 35197 -1 -2	27	1
10853 -1 18527 -1 32201 -1 -2	2	1
47945 -1 47957 -1 -2	102	1
12367 -1 12407 -1 12679 -1 33429 -1 -2	27	1
60909 -1 -2	3	1
35209 -1 -2	117	3
18775 -1 -2	67	5
12343 -1 18647 -1 18755 -1 -2	21	1
10303 -1 12531 -1 12547 -1 -2	5	1
12739 -1 -2	407	21
12723 -1 18691 -1 -2	14	1
33433 -1 46285 -1 -2	54	1
12803 -1 12835 -1 -2	53	1
12855 -1 35177 -1 -2	29	1
10295 -1 12767 -1 -2	43	1
34925 -1 46285 -1 -2	31	1
18579 -1 -2	79	5
18431 -1 -2	106	7
56377 -1 -2	13	1
12575 -1 12695 -1 33465 -1 -2	6	1
12595 -1 48643 -1 -2	2	1
12347 -1 32205 -1 -2	9	1
10865 -1 12399 -1 12895 -1 -2	28	1
12367 -1 18439 -1 33441 -1 35165 -1 -2	22	1
12451 -1 12603 -1 12671 -1 12775 -1 35161 -1 -2	1	1
33433 -1 35157 -1 35169 -1 -2	35	1
12355 -1 12487 -1 -2	57	1
52965 -1 -2	34	4
18747 -1 -2	64	5
18587 -1 34905 -1 -2	22	1
12895 -1 32213 -1 -2	130	1
12651 -1 12819 -1 12855 -1 12899 -1 -2	4	1
12819 -1 32217 -1 -2	21	1
47257 -1 -2	47	2
18555 -1 33461 -1 -2	2	1
12683 -1 12903 -1 -2	52	1
18459 -1 18647 -1 34917 -1 -2	21	1
10861 -1 12735 -1 -2	44	1
12851 -1 18743 -1 -2	22	1
12483 -1 12759 -1 -2	118	1
12887 -1 18743 -1 -2	24	1
18603 -1 18615 -1 35185 -1 -2	24	1
12875 -1 33449 -1 -2	105	1
33425 -1 34885 -1 -2	144	1
12695 -1 34893 -1 35149 -1 -2	29	1
10335 -1 10869 -1 -2	3	1
10877 -1 12559 -1 -2	90	1
33433 -1 34893 -1 -2	74	1
12391 -1 -2	6	2
54653 -1 54657 -1 -2	60	1
12871 -1 46289 -1 -2	20	1
12747 -1 18587 -1 -2	6	1
12343 -1 12407 -1 -2	44	1
12671 -1 12699 -1 -2	6	1
12847 -1 18559 -1 18567 -1 34909 -1 -2	20	1
56615 -1 -2	13	2
18703 -1 -2	145	8
10853 -1 12643 -1 12759 -1 -2	6	1
12703 -1 34897 -1 -2	95	1
12755 -1 32209 -1 -2	50	1
48635 -1 -2	62	3
33465 -1 34889 -1 -2	73	1
12495 -1 12875 -1 -2	75	1
12763 -1 12835 -1 -2	16	1
12859 -1 32197 -1 46289 -1 -2	3	1
12567 -1 12715 -1 35157 -1 -2	4	1
18487 -1 18663 -1 -2	5	1
18627 -1 35181 -1 -2	25	1
10853 -1 12531 -1 -2	35	1
12703 -1 34893 -1 -2	320	1
54653 -1 54665 -1 -2	43	1
12871 -1 18551 -1 -2	23	1
12679 -1 12799 -1 -2	54	1
12347 -1 48675 -1 -2	4	1
10833 -1 18467 -1 -2	3	1
10307 -1 12621 -1 -2	179	1
12827 -1 12903 -1 -2	80	1
12339 -1 12351 -1 -2	27	1
12343 -1 12671 -1 -2	7	1
52977 -1 -2	24	1
33453 -1 33465 -1 -2	136	1
12743 -1 12851 -1 -2	10	1
10315 -1 18675 -1 -2	19	1
12467 -1 12887 -1 18619 -1 18679 -1 -2	21	1
12647 -1 12843 -1 -2	14	1
12435 -1 18635 -1 33469 -1 -2	11	1
12559 -1 18831 -1 -2	10	1
12375 -1 34909 -1 -2	31	1
12327 -1 12663 -1 12723 -1 12779 -1 12883 -1 -2	1	1
47249 -1 -2	39	2
12735 -1 12763 -1 -2	179	1
12815 -1 12895 -1 -2	552	1
12695 -1 12715 -1 -2	52	1
12787 -1 18659 -1 -2	5	1
12407 -1 48671 -1 -2	26	1
18543 -1 33437 -1 33465 -1 -2	22	1
12363 -1 12371 -1 12643 -1 -2	1	1
18575 -1 -2	90	5
18467 -1 -2	38	1
12467 -1 18643 -1 35189 -1 -2	21	1
56691 -1 -2	16	3
35173 -1 -2	92	4
12463 -1 32205 -1 -2	39	1
12647 -1 18423 -1 -2	40	1
12407 -1 12451 -1 12871 -1 -2	27	1
18615 -1 35189 -1 -2	22	1
32205 -1 34905 -1 -2	44	1
12431 -1 12803 -1 34921 -1 -2	27	1
12627 -1 33433 -1 -2	41	1
12431 -1 34885 -1 -2	31	1
12795 -1 18651 -1 -2	23	1
18451 -1 18603 -1 -2	31	1
47273 -1 -2	105	6
10315 -1 10861 -1 12571 -1 18479 -1 -2	2	1
51227 -1 -2	19	2
12403 -1 33465 -1 -2	34	1
12527 -1 12687 -1 12875 -1 18427 -1 18663 -1 -2	21	1
12431 -1 12751 -1 -2	177	1
12415 -1 12483 -1 12687 -1 12795 -1 18847 -1 -2	1	1
12567 -1 12615 -1 12635 -1 32213 -1 33469 -1 -2	2	1
10303 -1 12611 -1 12899 -1 -2	4	1
12459 -1 35169 -1 -2	29	1
18711 -1 -2	24	1
12903 -1 34909 -1 -2	29	1
12523 -1 12879 -1 12899 -1 18431 -1 35181 -1 -2	20	1
12835 -1 18543 -1 -2	22	1
18767 -1 33465 -1 -2	22	1
10857 -1 33433 -1 -2	52	1
12503 -1 33433 -1 -2	3	1
12895 -1 18787 -1 -2	35	1
12703 -1 18491 -1 -2	3	1
12451 -1 12487 -1 -2	37	1
12683 -1 33469 -1 -2	128	1
10849 -1 12423 -1 12775 -1 33445 -1 -2	2	1
10303 -1 34885 -1 -2	18	1
18743 -1 -2	73	3
12299 -1 18611 -1 35149 -1 -2	21	1
12419 -1 12551 -1 -2	8	1
12747 -1 12835 -1 46289 -1 -2	2	1
56427 -1 -2	16	1
12691 -1 35153 -1 -2	34	1
12487 -1 18411 -1 -2	1	1
12299 -1 12831 -1 -2	28	1
12703 -1 18787 -1 -2	16	1
10849 -1 12347 -1 -2	18	1
10849 -1 12679 -1 12855 -1 -2	28	1
18627 -1 18679 -1 -2	27	1
10335 -1 12819 -1 -2	53	1
30283 -1 -2	40	1
12807 -1 18447 -1 -2	22	1
18459 -1 18595 -1 48691 -1 -2	1	1
12503 -1 -2	87	4
12567 -1 35153 -1 -2	23	1
18551 -1 -2	130	4
18655 -1 34913 -1 35205 -1 -2	20	1
12495 -1 46293 -1 -2	22	1
12531 -1 33449 -1 35153 -1 -2	31	1
12747 -1 12883 -1 -2	11	1
12795 -1 18423 -1 -2	29	1
18711 -1 18775 -1 -2	2	1
34901 -1 35193 -1 -2	27	1
12367 -1 33449 -1 35189 -1 -2	27	1
18683 -1 46289 -1 -2	10	1
12803 -1 12819 -1 -2	69	1
12299 -1 12795 -1 34921 -1 -2	28	1
10303 -1 12739 -1 -2	54	1
10861 -1 10865 -1 32209 -1 -2	35	1
48651 -1 -2	91	3
10295 -1 12691 -1 -2	172	1
56097 -1 -2	9	1
10881 -1 35185 -1 -2	31	1
12621 -1 47945 -1 -2	7	1
12571 -1 12663 -1 -2	19	1
10861 -1 12487 -1 -2	76	1
18651 -1 18659 -1 -2	32	1
12479 -1 33429 -1 -2	50	1
12495 -1 33441 -1 -2	42	1
18511 -1 18523 -1 35149 -1 -2	2	1
56631 -1 -2	13	1
12875 -1 18587 -1 18643 -1 33425 -1 35185 -1 -2	21	1
12395 -1 33441 -1 35189 -1 -2	27	1
12431 -1 12471 -1 12679 -1 -2	29	1
12691 -1 18443 -1 -2	23	1
12727 -1 18847 -1 -2	7	1
33465 -1 33469 -1 -2	139	1
33433 -1 34897 -1 -2	68	1
52973 -1 54661 -1 -2	8	1
18755 -1 34909 -1 -2	21	1
30247 -1 -2	10	1
12367 -1 12495 -1 12523 -1 18563 -1 -2	22	1
12459 -1 18615 -1 -2	22	1
12395 -1 12851 -1 18567 -1 -2	21	1
10299 -1 10311 -1 -2	238	1
12343 -1 35149 -1 35201 -1 -2	28	1
12799 -1 32197 -1 -2	8	1
32213 -1 46289 -1 -2	16	1
12483 -1 18611 -1 35189 -1 35205 -1 -2	21	1
30279 -1 -2	11	1
12435 -1 12851 -1 18635 -1 -2	21	1
12751 -1 12811 -1 -2	6	1
12491 -1 12787 -1 -2	20	1
12815 -1 32201 -1 -2	51	1
30319 -1 -2	54	4
12463 -1 18459 -1 34909 -1 46281 -1 -2	9	1
12683 -1 18427 -1 -2	26	1
12879 -1 34929 -1 -2	29	1
12367 -1 12695 -1 18751 -1 -2	22	1
18603 -1 18755 -1 18767 -1 -2	29	1
10861 -1 34913 -1 -2	39	1
12475 -1 12823 -1 18547 -1 18571 -1 -2	20	1
33457 -1 34925 -1 35209 -1 -2	27	1
10849 -1 12683 -1 18767 -1 -2	22	1
12335 -1 32201 -1 -2	5	1
18663 -1 35193 -1 -2	23	1
12695 -1 18571 -1 18631 -1 35161 -1 -2	21	1
55859 -1 56097 -1 -2	3	1
32197 -1 32205 -1 -2	134	1
12771 -1 34893 -1 -2	20	1
12495 -1 35177 -1 35185 -1 -2	30	1
10315 -1 10339 -1 12671 -1 33465 -1 -2	2	1
10327 -1 12591 -1 47281 -1 -2	1	1
55827 -1 -2	3	1
12783 -1 12835 -1 18631 -1 -2	2	1
12887 -1 18603 -1 34925 -1 -2	21	1
12579 -1 18731 -1 18795 -1 18815 -1 -2	1	1
12407 -1 47953 -1 -2	16	1
12851 -1 48707 -1 -2	2	1
10829 -1 12687 -1 12743 -1 -2	7	1
10865 -1 12863 -1 12887 -1 18683 -1 34917 -1 -2	20	1
12571 -1 12711 -1 -2	15	1
18663 -1 -2	88	2
10853 -1 34901 -1 -2	35	1
12343 -1 18587 -1 18643 -1 -2	21	1
12827 -1 18551 -1 34921 -1 -2	21	1
12483 -1 12603 -1 -2	49	1
35161 -1 35201 -1 -2	39	1
10865 -1 12447 -1 12763 -1 -2	2	1
12299 -1 18447 -1 35185 -1 -2	21	1
18523 -1 35177 -1 -2	4	1
