#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

1 -1 2 -1 -2	27270	1
3 -1 3 -1 2 -1 3 -1 -2	5138	1
1 -1 4 -1 -2	18891	1
5 -1 1 -1 5 -1 3 -1 -2	14632	1
2 4 6 -1 3 -1 -2	424	1
5 -1 5 -1 1 -1 1 -1 -2	42080	7
5 -1 3 -1 1 -1 3 -1 -2	11622	1
1 3 -1 1 -1 -2	17784	2
4 -1 3 4 -1 -2	4694	1
3 -1 2 5 -1 3 -1 -2	6493	1
4 -1 4 -1 4 -1 -2	13331	1
1 -1 4 -1 1 -1 -2	15765	5
3 -1 1 -1 1 -1 1 -1 -2	14477	1
1 -1 1 2 -1 -2	22025	4
2 -1 3 -1 1 -1 -2	8664	1
2 -1 1 -1 2 -1 -2	19521	3
1 -1 4 -1 2 5 -1 -2	6987	1
1 -1 4 -1 1 5 -1 -2	13406	1
1 -1 1 3 -1 1 -1 -2	15496	4
1 -1 2 3 -1 3 -1 -2	5424	1
4 -1 1 -1 1 4 -1 -2	10620	1
2 -1 5 -1 3 -1 3 -1 -2	5842	1
4 -1 5 -1 3 -1 2 -1 -2	3101	1
3 -1 1 -1 5 -1 -2	17064	1
1 -1 1 -1 -2	70650	3
4 -1 4 -1 5 -1 -2	13898	2
2 -1 1 -1 3 5 -1 -2	7636	1
5 -1 3 -1 1 3 -1 -2	12233	1
2 -1 2 -1 1 -1 5 -1 -2	14719	1
3 5 -1 1 -1 -2	17274	5
1 -1 1 3 -1 5 -1 -2	14472	2
1 3 -1 2 -1 3 -1 -2	6191	1
3 -1 1 -1 5 -1 1 -1 -2	13561	4
2 3 -1 1 -1 3 -1 -2	5437	1
5 -1 1 5 -1 1 -1 -2	45637	2
5 -1 4 -1 3 5 -1 -2	6032	1
4 -1 1 -1 3 4 -1 -2	3630	1
2 -1 1 5 -1 1 -1 -2	18988	2
1 -1 3 -1 1 3 -1 -2	12996	1
3 -1 1 5 -1 5 -1 -2	15358	1
2 -1 2 -1 1 -1 2 -1 -2	13171	3
1 -1 1 -1 1 2 -1 -2	18995	3
2 6 -1 1 -1 2 -1 -2	1543	1
2 3 5 -1 1 -1 -2	6132	1
1 4 -1 3 -1 1 -1 -2	5513	1
1 2 -1 2 -1 2 -1 -2	14255	1
1 5 -1 1 5 -1 -2	48120	10
4 -1 1 -1 4 -1 4 -1 -2	8198	2
1 -1 3 -1 4 -1 -2	6428	1
2 5 -1 1 -1 -2	21778	1
1 5 -1 1 -1 5 -1 -2	45663	4
1 -1 6 -1 2 -1 3 -1 -2	1075	1
4 -1 4 -1 1 -1 4 -1 -2	8268	1
1 -1 2 -1 3 5 -1 -2	7716	1
2 -1 4 -1 2 -1 -2	7136	2
4 5 -1 4 -1 -2	14074	1
1 -1 1 -1 4 5 -1 -2	12746	1
1 -1 1 -1 1 -1 5 -1 -2	42097	7
1 -1 1 -1 2 -1 -2	23030	5
1 -1 1 3 4 -1 -2	4346	2
5 -1 3 -1 2 -1 5 -1 -2	7564	1
3 5 -1 1 -1 3 -1 -2	12411	2
1 -1 5 -1 1 -1 1 -1 -2	41670	6
1 -1 1 5 -1 -2	52586	11
1 -1 1 -1 5 -1 3 -1 -2	14288	2
1 -1 2 4 -1 -2	6582	1
1 -1 4 5 -1 1 -1 -2	12635	3
4 5 -1 2 3 -1 -2	3147	1
5 -1 1 2 -1 5 -1 -2	18188	3
1 5 -1 1 -1 4 -1 -2	13704	2
2 -1 5 -1 1 2 -1 -2	15317	2
1 6 -1 5 6 -1 -2	3091	1
5 -1 5 -1 2 -1 1 -1 -2	18448	1
4 -1 1 4 -1 5 -1 -2	10261	1
5 -1 1 2 -1 4 -1 -2	6765	1
3 -1 3 5 -1 1 -1 -2	12319	1
5 -1 1 2 -1 -2	21050	2
5 -1 1 -1 1 -1 -2	52159	8
3 -1 1 -1 2 -1 -2	8737	2
2 -1 4 -1 1 -1 1 -1 -2	6270	3
1 -1 1 -1 4 -1 5 -1 -2	12371	1
1 -1 1 2 5 -1 -2	17692	2
1 3 5 -1 1 -1 -2	14173	4
4 -1 2 4 -1 6 -1 -2	787	1
1 -1 5 -1 2 5 -1 -2	19091	1
1 -1 3 -1 1 -1 5 -1 -2	13825	1
3 -1 2 -1 2 -1 3 -1 -2	4911	1
2 5 -1 5 -1 -2	25052	2
1 -1 4 -1 1 3 -1 -2	5579	1
1 -1 2 -1 5 -1 2 -1 -2	14440	1
2 -1 3 -1 1 -1 1 -1 -2	6940	1
1 5 -1 2 -1 5 -1 -2	19783	1
5 -1 4 -1 1 -1 3 -1 -2	5143	1
3 -1 2 4 -1 1 -1 -2	2769	1
1 3 -1 2 -1 1 -1 -2	7443	2
1 -1 6 -1 1 5 -1 -2	4481	1
1 -1 3 -1 1 -1 -2	18379	5
3 -1 5 -1 1 -1 -2	17042	3
2 -1 1 -1 1 -1 4 -1 -2	6317	2
1 -1 1 -1 1 -1 4 -1 -2	13006	3
1 -1 1 -1 2 -1 1 -1 -2	18414	5
2 -1 1 -1 4 -1 4 -1 -2	4740	1
2 5 -1 1 -1 3 -1 -2	7634	1
1 -1 1 3 5 -1 -2	14272	1
5 -1 1 3 -1 -2	16805	1
4 -1 1 -1 2 -1 1 -1 -2	6366	1
6 -1 5 -1 1 -1 2 -1 -2	2123	1
1 -1 1 -1 2 5 -1 -2	18509	2
2 5 -1 1 -1 1 -1 -2	18320	2
1 -1 1 -1 4 -1 -2	16021	3
5 -1 4 -1 5 -1 -2	17163	1
1 -1 2 5 -1 -2	21853	3
1 -1 3 -1 2 -1 2 -1 -2	5715	2
2 -1 1 -1 2 3 -1 -2	5520	1
1 -1 2 5 -1 2 -1 -2	15886	1
1 -1 1 -1 3 -1 6 -1 -2	1805	1
1 -1 1 -1 3 -1 5 -1 -2	14102	1
5 -1 5 -1 2 -1 3 -1 -2	7728	1
1 -1 1 2 4 -1 -2	5353	1
5 -1 1 -1 2 3 -1 -2	6308	1
6 -1 1 2 4 -1 -2	1034	1
3 -1 2 5 -1 1 -1 -2	7464	1
3 -1 3 -1 4 -1 -2	5643	1
4 -1 1 5 -1 1 -1 -2	13187	2
6 -1 5 6 -1 6 -1 -2	2656	1
1 -1 5 -1 4 -1 5 -1 -2	12506	1
1 -1 2 3 -1 2 -1 -2	5449	1
5 -1 1 -1 1 -1 1 -1 -2	41939	6
5 6 -1 5 -1 3 -1 -2	2066	1
1 2 4 -1 4 -1 -2	4534	1
5 -1 4 -1 1 -1 1 -1 -2	11983	2
6 -1 5 6 -1 -2	4019	1
5 -1 5 -1 1 -1 5 -1 -2	43464	2
5 -1 4 6 -1 1 -1 -2	1206	1
1 -1 1 2 -1 2 -1 -2	16211	1
4 -1 4 -1 5 -1 4 -1 -2	8846	1
1 -1 4 -1 1 -1 1 -1 -2	12593	3
1 2 -1 2 5 -1 -2	16078	2
1 -1 1 -1 1 -1 1 -1 -2	49424	8
5 -1 1 -1 2 -1 -2	22153	1
4 -1 6 -1 4 -1 -2	1547	1
4 -1 1 4 -1 4 -1 -2	9155	1
1 2 -1 1 5 -1 -2	18871	1
5 -1 1 -1 3 -1 1 -1 -2	14111	1
1 -1 1 -1 3 -1 1 -1 -2	15126	2
2 -1 2 5 -1 2 -1 -2	16365	3
1 -1 3 -1 1 -1 2 -1 -2	7115	1
1 2 -1 5 -1 2 -1 -2	15306	2
1 5 -1 1 4 -1 -2	13559	1
1 -1 1 4 -1 4 -1 -2	10734	1
5 -1 5 -1 5 -1 5 -1 -2	55625	1
1 4 5 -1 -2	13831	1
1 -1 5 -1 3 5 -1 -2	15170	2
1 2 -1 5 -1 5 -1 -2	17858	2
5 -1 2 -1 3 5 -1 -2	8255	1
5 -1 6 -1 5 -1 1 -1 -2	4208	1
5 -1 4 -1 3 -1 -2	6729	1
4 -1 1 2 -1 4 -1 -2	5244	1
1 4 -1 4 -1 -2	12915	1
1 -1 4 5 -1 -2	15001	1
1 -1 4 -1 1 -1 5 -1 -2	11985	3
1 2 -1 1 -1 -2	21787	2
1 5 -1 1 -1 2 -1 -2	19545	3
1 -1 4 -1 3 -1 3 -1 -2	4139	1
1 2 -1 1 -1 2 -1 -2	16099	2
1 5 -1 5 -1 -2	53389	4
1 -1 1 -1 3 -1 -2	18760	3
2 -1 5 -1 5 -1 2 -1 -2	16585	2
6 -1 1 -1 1 -1 6 -1 -2	2695	1
4 5 -1 1 5 -1 -2	13907	1
1 -1 1 -1 5 -1 4 -1 -2	12257	1
4 -1 4 -1 1 -1 1 -1 -2	10011	2
1 -1 2 -1 1 -1 -2	22807	3
5 6 -1 5 6 -1 -2	3691	1
4 -1 4 -1 4 -1 5 -1 -2	9189	2
1 4 -1 5 -1 4 -1 -2	10072	2
1 2 -1 3 -1 -2	8780	1
1 5 -1 4 -1 2 -1 -2	7327	1
1 -1 1 -1 2 -1 3 -1 -2	7286	2
3 -1 5 -1 1 4 -1 -2	5376	1
1 -1 4 -1 5 -1 3 -1 -2	5179	2
2 -1 1 -1 3 -1 2 -1 -2	5777	1
4 -1 5 -1 5 -1 5 -1 -2	13770	1
5 -1 5 -1 1 5 -1 -2	46925	3
5 -1 5 -1 1 -1 3 -1 -2	14652	2
3 -1 2 5 -1 2 -1 -2	6650	1
4 -1 1 -1 1 -1 4 -1 -2	9700	2
5 -1 6 -1 5 -1 6 -1 -2	2882	1
1 -1 1 3 6 -1 -2	1375	1
1 -1 1 -1 1 4 -1 -2	13425	3
1 -1 5 -1 1 -1 4 -1 -2	12239	1
3 5 -1 3 -1 3 -1 -2	12453	2
1 -1 1 -1 3 -1 3 -1 -2	12115	2
4 -1 1 6 -1 1 -1 -2	1689	1
1 3 -1 1 -1 1 -1 -2	15184	1
1 2 5 -1 2 -1 -2	15613	1
4 5 -1 4 -1 5 -1 -2	11812	1
1 -1 4 -1 3 -1 5 -1 -2	5144	1
5 -1 1 -1 3 -1 3 -1 -2	11537	1
3 -1 1 -1 1 2 -1 -2	7452	1
2 -1 1 -1 -2	27049	1
2 -1 5 -1 1 5 -1 -2	19398	2
2 -1 4 5 -1 -2	8354	1
1 -1 2 -1 3 -1 5 -1 -2	7000	1
2 5 -1 3 -1 -2	9279	1
1 -1 1 2 -1 1 -1 -2	18948	4
1 -1 1 5 -1 5 -1 -2	45429	3
1 5 -1 6 -1 -2	5409	1
5 -1 2 5 -1 -2	25347	1
5 -1 4 -1 4 -1 4 -1 -2	8785	1
2 -1 5 -1 5 -1 1 -1 -2	17659	2
4 -1 1 5 -1 -2	15778	2
1 -1 5 -1 5 -1 3 -1 -2	14498	1
5 -1 1 5 -1 -2	53537	1
3 -1 1 -1 2 -1 1 -1 -2	7017	1
2 3 -1 3 -1 1 -1 -2	5389	1
1 -1 3 5 -1 3 -1 -2	12464	2
1 4 5 -1 1 -1 -2	12352	2
2 3 -1 2 -1 1 -1 -2	5518	1
1 -1 3 5 -1 5 -1 -2	15019	1
2 -1 1 -1 2 -1 4 -1 -2	5254	1
4 -1 6 -1 3 -1 1 -1 -2	831	1
5 -1 1 2 4 -1 -2	5261	1
3 -1 1 5 -1 1 -1 -2	15006	3
5 -1 1 -1 1 5 -1 -2	45506	2
4 -1 1 -1 1 2 -1 -2	6791	1
4 -1 5 -1 5 -1 -2	16829	1
3 -1 5 -1 5 -1 -2	19541	1
3 -1 5 -1 1 -1 3 -1 -2	11332	1
1 2 -1 1 -1 1 -1 -2	18712	3
4 5 -1 1 -1 1 -1 -2	12579	1
5 -1 5 -1 4 -1 -2	17439	1
1 -1 1 5 -1 6 -1 -2	4513	1
3 4 -1 -2	6234	1
1 -1 3 -1 5 -1 5 -1 -2	14120	1
2 -1 2 -1 5 -1 3 -1 -2	6335	1
5 -1 1 6 -1 1 -1 -2	4148	1
1 4 -1 1 -1 -2	15393	2
4 -1 5 -1 4 -1 2 -1 -2	5234	1
1 3 -1 1 5 -1 -2	15073	1
2 -1 1 -1 4 -1 -2	7874	1
1 -1 1 6 -1 -2	5067	1
1 5 -1 2 -1 3 -1 -2	7956	1
2 6 -1 5 6 -1 -2	1413	1
1 -1 3 -1 2 3 -1 -2	5441	1
3 -1 1 -1 2 -1 2 -1 -2	5663	1
5 -1 3 -1 1 -1 1 -1 -2	13844	1
1 4 -1 1 -1 4 -1 -2	10650	1
3 -1 1 3 5 -1 -2	12258	1
1 5 -1 5 -1 5 -1 -2	46753	2
1 -1 3 5 -1 1 -1 -2	14647	2
1 -1 1 4 -1 -2	15491	2
1 -1 5 -1 2 -1 -2	22200	2
1 -1 2 -1 3 -1 1 -1 -2	7066	1
5 -1 5 -1 -2	77235	2
1 -1 5 -1 1 -1 6 -1 -2	3996	1
2 5 -1 3 -1 3 -1 -2	6522	1
4 -1 1 -1 1 3 -1 -2	5532	1
1 -1 4 -1 3 4 -1 -2	3658	1
2 -1 1 3 -1 5 -1 -2	7318	1
5 -1 4 -1 1 -1 5 -1 -2	12251	1
5 -1 1 -1 1 -1 3 -1 -2	14351	1
3 -1 2 -1 1 -1 3 -1 -2	5635	1
5 -1 5 -1 1 -1 2 -1 -2	18176	1
6 -1 5 -1 -2	6354	1
2 -1 1 2 -1 1 -1 -2	16254	1
4 5 -1 4 5 -1 -2	12709	1
1 5 -1 2 -1 -2	22882	1
4 -1 1 -1 3 -1 4 -1 -2	3961	1
2 3 5 -1 6 -1 -2	1129	1
1 -1 5 -1 2 -1 2 -1 -2	14425	1
3 -1 1 5 -1 4 -1 -2	5674	1
5 -1 1 -1 -2	61810	5
3 -1 5 -1 5 -1 5 -1 -2	15948	1
5 -1 2 -1 4 -1 2 -1 -2	5530	1
3 -1 3 5 -1 -2	16757	1
3 4 -1 2 -1 1 -1 -2	2671	1
2 -1 2 -1 4 -1 1 -1 -2	5380	1
1 6 -1 5 -1 -2	4738	1
5 -1 1 4 -1 4 -1 -2	10129	1
1 5 -1 1 2 -1 -2	19134	1
1 -1 4 -1 4 6 -1 -2	1004	1
5 -1 1 -1 5 -1 -2	53031	2
1 -1 2 -1 4 -1 1 -1 -2	6355	2
6 -1 2 -1 1 -1 -2	2644	1
6 -1 3 -1 3 -1 5 -1 -2	1401	1
5 -1 2 -1 1 5 -1 -2	19783	1
4 -1 1 3 -1 1 -1 -2	5504	1
1 4 -1 2 -1 1 -1 -2	6796	1
3 -1 3 -1 2 -1 4 -1 -2	2482	1
1 -1 1 3 -1 -2	18024	3
4 5 -1 3 -1 1 -1 -2	5546	1
2 -1 1 -1 5 -1 5 -1 -2	17484	1
1 5 -1 5 -1 2 -1 -2	20078	1
1 4 -1 5 -1 5 -1 -2	12501	2
3 4 -1 5 -1 -2	5370	1
4 -1 3 -1 2 -1 1 -1 -2	3051	1
3 -1 3 -1 3 -1 1 -1 -2	10321	1
6 -1 1 5 6 -1 -2	2988	1
2 -1 1 -1 1 -1 3 -1 -2	7160	1
1 5 -1 4 -1 -2	16065	1
1 -1 1 -1 1 -1 2 -1 -2	18541	2
5 -1 5 -1 4 -1 1 -1 -2	12603	1
2 -1 1 -1 5 -1 3 -1 -2	7087	1
1 2 -1 3 -1 5 -1 -2	7323	2
2 -1 1 -1 1 5 -1 -2	18973	1
1 -1 3 -1 2 -1 -2	8844	2
3 -1 5 -1 3 -1 5 -1 -2	12962	1
6 -1 1 -1 5 -1 1 -1 -2	3974	1
5 -1 2 -1 5 6 -1 -2	2379	1
1 -1 3 -1 1 5 -1 -2	15241	2
1 5 -1 -2	58721	5
5 -1 1 -1 4 5 -1 -2	13083	2
4 -1 4 -1 -2	18570	1
1 3 -1 4 -1 4 -1 -2	4308	1
3 -1 2 3 -1 -2	6936	1
1 -1 1 -1 1 -1 3 -1 -2	15373	2
1 2 3 -1 1 -1 -2	5978	1
1 -1 5 -1 5 -1 1 -1 -2	41587	1
1 6 -1 3 -1 2 -1 -2	1150	1
1 3 -1 1 -1 4 -1 -2	5541	1
2 -1 1 -1 1 -1 5 -1 -2	17144	2
1 3 5 -1 -2	15903	1
2 5 -1 4 -1 1 -1 -2	6882	1
5 -1 2 -1 1 -1 -2	22179	2
5 6 -1 1 2 -1 -2	2394	1
3 -1 6 -1 4 -1 4 -1 -2	673	1
5 -1 1 -1 3 5 -1 -2	15214	2
1 4 -1 5 -1 -2	14693	1
5 -1 1 -1 5 -1 5 -1 -2	43174	2
4 6 -1 4 -1 1 -1 -2	1012	1
1 5 -1 4 -1 3 -1 -2	5847	1
5 -1 2 -1 2 6 -1 -2	1577	1
3 -1 1 3 -1 1 -1 -2	12957	1
1 -1 1 6 -1 4 -1 -2	1911	1
4 5 -1 1 4 -1 -2	10676	2
1 -1 2 -1 1 4 -1 -2	6752	1
4 -1 1 5 -1 5 -1 -2	13465	1
1 2 -1 1 -1 5 -1 -2	17757	2
3 -1 5 -1 3 -1 1 -1 -2	11289	1
3 -1 5 -1 -2	22674	1
4 -1 5 -1 1 2 -1 -2	6694	1
4 -1 3 -1 -2	7980	1
4 -1 1 -1 5 -1 5 -1 -2	12103	1
2 5 -1 3 -1 6 -1 -2	1220	1
1 4 -1 4 -1 5 -1 -2	10201	1
5 -1 3 -1 3 -1 3 -1 -2	11038	1
2 3 -1 3 -1 2 -1 -2	5008	1
1 5 -1 4 5 -1 -2	13950	2
5 -1 4 -1 1 4 -1 -2	10144	1
4 5 -1 1 -1 2 -1 -2	6916	1
4 -1 1 -1 4 5 -1 -2	10265	1
2 -1 1 2 -1 4 -1 -2	5830	1
5 -1 4 -1 4 -1 1 -1 -2	9622	1
1 -1 1 -1 3 4 -1 -2	4421	1
1 -1 1 4 -1 5 -1 -2	12641	1
1 -1 1 -1 2 -1 5 -1 -2	17578	1
2 -1 4 -1 5 6 -1 -2	1097	1
1 5 -1 3 -1 3 -1 -2	12927	1
3 5 -1 5 -1 -2	19507	3
1 -1 2 4 -1 1 -1 -2	5639	1
3 -1 1 -1 1 -1 5 -1 -2	13624	1
5 -1 2 -1 4 5 -1 -2	7315	1
5 -1 1 -1 1 -1 5 -1 -2	41877	1
3 -1 5 -1 2 -1 -2	9100	1
1 -1 2 -1 2 5 -1 -2	15921	2
2 -1 5 -1 1 -1 2 -1 -2	14278	2
3 -1 1 -1 1 -1 4 -1 -2	5047	1
5 -1 5 -1 3 -1 1 -1 -2	14468	1
2 -1 1 -1 5 -1 -2	21572	3
4 -1 1 -1 1 -1 1 -1 -2	12573	1
1 -1 2 5 -1 1 -1 -2	18384	2
3 -1 3 -1 3 -1 -2	16676	1
3 -1 1 3 -1 3 -1 -2	11530	1
1 2 -1 4 -1 4 -1 -2	5226	1
4 -1 1 -1 1 -1 -2	15541	2
1 3 -1 5 -1 6 -1 -2	1935	1
1 5 -1 5 6 -1 -2	4670	1
3 6 -1 4 -1 2 -1 -2	528	1
1 -1 1 -1 2 -1 4 -1 -2	6386	1
1 -1 6 -1 5 -1 6 -1 -2	2528	1
2 -1 1 -1 4 -1 2 -1 -2	5273	2
1 -1 1 -1 6 -1 2 -1 -2	2150	1
1 -1 5 -1 1 -1 5 -1 -2	41630	1
1 5 -1 2 5 -1 -2	20045	1
1 -1 2 4 5 -1 -2	5511	1
1 -1 5 -1 2 -1 1 -1 -2	17696	1
2 -1 3 -1 4 -1 6 -1 -2	581	1
4 5 -1 1 -1 4 -1 -2	10281	1
1 -1 4 -1 5 -1 5 -1 -2	12189	2
1 -1 2 3 -1 5 -1 -2	6216	1
1 3 5 -1 4 -1 -2	5735	1
1 -1 4 -1 1 4 -1 -2	10655	1
2 -1 -2	35459	1
5 -1 1 -1 4 -1 2 -1 -2	6541	1
3 -1 5 -1 1 -1 1 -1 -2	13619	1
4 -1 1 -1 1 -1 2 -1 -2	6346	2
3 -1 5 -1 1 5 -1 -2	15343	1
1 -1 4 -1 4 -1 1 -1 -2	9921	1
1 3 -1 1 2 -1 -2	7697	1
1 3 -1 3 -1 2 -1 -2	6265	1
1 -1 1 4 -1 1 -1 -2	13325	3
3 5 -1 5 -1 1 -1 -2	14915	1
5 -1 3 -1 1 5 -1 -2	15622	1
2 -1 3 -1 5 -1 1 -1 -2	6856	1
4 -1 4 5 -1 1 -1 -2	10390	1
1 5 -1 1 -1 3 -1 -2	15597	2
1 5 -1 2 3 -1 -2	6722	1
1 6 -1 1 -1 1 -1 -2	4403	1
6 -1 1 -1 2 -1 1 -1 -2	2112	1
2 5 -1 1 -1 4 -1 -2	6937	1
4 -1 4 -1 2 3 -1 -2	2376	1
1 -1 1 -1 5 -1 2 -1 -2	17668	1
1 5 -1 3 -1 -2	18058	1
1 -1 6 -1 1 6 -1 -2	2908	1
2 -1 6 -1 3 -1 5 -1 -2	1077	1
1 -1 2 -1 2 -1 1 -1 -2	15124	2
4 5 -1 1 2 -1 -2	7099	1
1 -1 3 -1 1 4 -1 -2	5592	1
2 3 -1 3 -1 6 -1 -2	919	1
3 -1 4 -1 1 -1 5 -1 -2	4980	1
1 4 -1 1 2 -1 -2	7076	1
3 -1 5 -1 5 -1 4 -1 -2	5386	1
1 5 -1 3 4 -1 -2	4747	1
1 4 -1 2 -1 5 -1 -2	6730	1
5 -1 1 2 -1 1 -1 -2	18010	1
2 -1 5 -1 1 -1 1 -1 -2	17221	1
1 4 -1 4 -1 1 -1 -2	10704	1
3 -1 3 -1 2 5 -1 -2	6615	2
1 -1 5 -1 5 -1 -2	52799	3
3 5 -1 1 5 -1 -2	15820	1
3 -1 2 3 -1 2 -1 -2	4935	1
5 -1 3 5 -1 1 -1 -2	15135	1
5 -1 1 5 -1 5 -1 -2	46706	1
1 -1 3 -1 2 -1 5 -1 -2	6986	1
2 4 -1 5 -1 1 -1 -2	5573	1
6 -1 4 -1 1 5 -1 -2	1948	1
2 -1 2 -1 5 -1 -2	21810	1
1 4 -1 1 6 -1 -2	1835	1
2 -1 2 -1 1 4 -1 -2	5761	1
4 5 -1 3 -1 2 -1 -2	3515	1
2 -1 1 2 -1 -2	19395	1
4 -1 2 -1 2 5 -1 -2	6153	1
6 -1 3 5 -1 -2	2382	1
3 -1 1 2 -1 1 -1 -2	7397	1
5 -1 1 5 -1 2 -1 -2	19936	1
5 -1 1 -1 5 -1 1 -1 -2	41832	1
1 3 -1 4 -1 1 -1 -2	5494	1
5 -1 2 -1 5 -1 4 -1 -2	6861	1
2 -1 2 -1 2 -1 5 -1 -2	14440	1
3 -1 4 5 -1 -2	6793	1
5 -1 1 -1 1 4 -1 -2	12681	1
2 -1 5 -1 2 -1 1 -1 -2	14707	1
5 -1 2 -1 1 3 -1 -2	7536	1
5 -1 5 -1 2 -1 -2	25922	1
6 -1 3 -1 2 -1 1 -1 -2	1035	1
4 -1 5 -1 4 -1 1 -1 -2	9544	1
6 -1 1 4 -1 5 -1 -2	1884	1
1 -1 1 4 5 -1 -2	12319	1
1 -1 1 3 -1 2 -1 -2	7647	1
4 -1 4 -1 2 -1 4 -1 -2	4328	1
