#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

10299 -1 10311 -1 -2	238	2
12667 -1 48711 -1 -2	7	1
12531 -1 12831 -1 -2	86	1
12423 -1 18643 -1 -2	2	1
35169 -1 35209 -1 -2	35	1
12807 -1 12819 -1 -2	84	1
12703 -1 12863 -1 -2	42	1
12523 -1 12667 -1 -2	54	1
18555 -1 18563 -1 -2	45	1
12795 -1 18671 -1 -2	26	2
10857 -1 12451 -1 -2	30	1
18431 -1 18655 -1 -2	28	1
12687 -1 12759 -1 -2	49	1
12375 -1 12423 -1 -2	14	1
12367 -1 18683 -1 -2	24	1
10295 -1 -2	2009	2
35153 -1 -2	240	2
18551 -1 18707 -1 -2	15	1
18883 -1 33465 -1 -2	8	1
12479 -1 12559 -1 -2	14	1
12687 -1 34897 -1 -2	60	1
47945 -1 47961 -1 -2	40	1
18639 -1 33433 -1 -2	22	1
10829 -1 12563 -1 -2	10	1
12359 -1 33453 -1 -2	4	2
12827 -1 12895 -1 -2	590	1
47965 -1 48675 -1 -2	34	1
12459 -1 12663 -1 -2	55	1
12683 -1 33437 -1 -2	86	2
12687 -1 18611 -1 -2	27	1
12355 -1 12399 -1 -2	48	1
12503 -1 47961 -1 -2	2	1
12355 -1 18755 -1 -2	21	1
47293 -1 48655 -1 -2	11	1
10853 -1 12627 -1 -2	9	1
12831 -1 34901 -1 -2	73	1
10315 -1 12735 -1 -2	73	1
12827 -1 12855 -1 -2	74	1
10315 -1 12451 -1 -2	6	1
33441 -1 -2	260	1
12795 -1 33441 -1 -2	51	1
12483 -1 33453 -1 -2	64	1
12487 -1 12571 -1 -2	247	1
10865 -1 12343 -1 -2	35	1
10299 -1 18583 -1 -2	4	1
12735 -1 12759 -1 -2	189	1
12439 -1 12783 -1 -2	9	1
33469 -1 34921 -1 -2	30	1
12643 -1 12819 -1 -2	23	1
12611 -1 12683 -1 -2	22	1
12611 -1 12755 -1 -2	139	1
12807 -1 35197 -1 -2	31	1
32197 -1 46293 -1 -2	12	1
18587 -1 34901 -1 -2	25	1
12375 -1 34925 -1 -2	32	1
12419 -1 -2	331	1
12459 -1 12711 -1 -2	5	1
12351 -1 12355 -1 -2	84	1
33441 -1 34889 -1 -2	69	1
12483 -1 12687 -1 -2	125	1
33465 -1 -2	297	1
12687 -1 12795 -1 -2	87	1
33465 -1 46285 -1 -2	52	1
12687 -1 12691 -1 -2	207	1
18567 -1 18747 -1 -2	29	2
12399 -1 33429 -1 -2	34	1
12743 -1 12875 -1 -2	24	1
12323 -1 12451 -1 -2	7	1
12611 -1 18703 -1 -2	5	1
12655 -1 48643 -1 -2	2	1
12659 -1 12667 -1 -2	76	1
10307 -1 34897 -1 -2	52	1
12471 -1 35153 -1 -2	33	1
12727 -1 18507 -1 -2	8	1
12559 -1 18523 -1 -2	8	1
35165 -1 35193 -1 -2	39	1
10323 -1 12621 -1 -2	1	1
10343 -1 32209 -1 -2	5	1
12631 -1 12779 -1 -2	40	1
12627 -1 12771 -1 -2	39	1
10853 -1 35157 -1 -2	33	1
12679 -1 12883 -1 -2	48	1
10857 -1 34893 -1 -2	53	1
10311 -1 12627 -1 -2	86	1
34893 -1 -2	1201	2
18443 -1 18619 -1 -2	43	1
10327 -1 18467 -1 -2	2	1
18619 -1 34917 -1 -2	23	1
12819 -1 12867 -1 -2	52	1
18431 -1 18451 -1 -2	28	1
10853 -1 12859 -1 -2	34	1
12323 -1 12359 -1 -2	3	1
12299 -1 12743 -1 -2	6	1
12827 -1 34917 -1 -2	30	1
12767 -1 12827 -1 -2	24	2
12431 -1 12759 -1 -2	9	1
12827 -1 18447 -1 -2	26	1
12459 -1 12795 -1 -2	48	1
12823 -1 32201 -1 -2	39	1
10339 -1 10845 -1 -2	9	1
18815 -1 32197 -1 -2	1	1
10315 -1 12703 -1 -2	330	1
12343 -1 12867 -1 -2	32	1
12419 -1 33437 -1 -2	33	1
12691 -1 12875 -1 -2	85	2
35185 -1 35189 -1 -2	37	1
47945 -1 48667 -1 -2	38	1
10861 -1 12807 -1 -2	40	1
12395 -1 18643 -1 -2	23	1
12827 -1 34925 -1 -2	32	1
18579 -1 18615 -1 -2	6	1
33433 -1 33469 -1 -2	509	1
12443 -1 12827 -1 -2	29	1
10299 -1 10865 -1 -2	32	1
18551 -1 18619 -1 -2	33	1
12339 -1 -2	910	1
12607 -1 12751 -1 -2	30	1
12583 -1 34889 -1 -2	9	1
12411 -1 35165 -1 -2	32	1
12563 -1 -2	242	1
12647 -1 12819 -1 -2	53	1
12535 -1 12695 -1 -2	35	1
12759 -1 18683 -1 -2	3	1
12555 -1 47687 -1 -2	2	1
18779 -1 18799 -1 -2	7	1
12487 -1 12739 -1 -2	41	1
12711 -1 12747 -1 -2	20	1
18451 -1 18563 -1 -2	35	1
12387 -1 35185 -1 -2	53	1
32213 -1 -2	1616	3
12483 -1 18679 -1 -2	25	1
12723 -1 -2	1267	1
12807 -1 -2	583	1
12895 -1 33429 -1 -2	108	2
12459 -1 12475 -1 -2	38	1
12411 -1 12431 -1 -2	91	1
18431 -1 18659 -1 -2	28	1
10307 -1 12523 -1 -2	97	1
12883 -1 33445 -1 -2	44	1
33465 -1 34925 -1 -2	40	1
12611 -1 12831 -1 -2	33	1
12827 -1 -2	1017	1
10869 -1 35181 -1 -2	7	1
33437 -1 34929 -1 -2	40	1
12419 -1 12483 -1 -2	36	1
10857 -1 12607 -1 -2	18	1
12891 -1 33453 -1 -2	39	1
12343 -1 12443 -1 -2	42	1
12667 -1 -2	570	2
12779 -1 -2	794	1
12375 -1 18459 -1 -2	23	1
12839 -1 18683 -1 -2	22	1
12551 -1 12823 -1 -2	12	1
12651 -1 34917 -1 -2	2	1
12419 -1 12443 -1 -2	72	1
12355 -1 12467 -1 -2	36	1
12691 -1 18439 -1 -2	28	1
34929 -1 35209 -1 -2	27	1
12703 -1 32201 -1 -2	99	1
18747 -1 33469 -1 -2	11	1
12531 -1 18443 -1 -2	24	1
12863 -1 12887 -1 -2	47	1
12479 -1 33449 -1 -2	94	1
48659 -1 48671 -1 -2	15	1
10307 -1 54673 -1 -2	25	1
12879 -1 35185 -1 -2	34	1
18423 -1 -2	347	1
12483 -1 12847 -1 -2	55	1
12431 -1 18787 -1 -2	12	1
12887 -1 18743 -1 -2	24	1
12895 -1 33469 -1 -2	268	1
12711 -1 12739 -1 -2	26	1
18707 -1 18787 -1 -2	32	1
12643 -1 12871 -1 -2	19	1
10339 -1 12691 -1 -2	25	1
12607 -1 12887 -1 -2	8	1
18663 -1 34905 -1 -2	22	1
12687 -1 12799 -1 -2	46	1
12795 -1 34929 -1 -2	32	1
12683 -1 12747 -1 -2	18	1
10311 -1 33469 -1 -2	151	1
12715 -1 12723 -1 -2	237	1
10291 -1 12655 -1 -2	30	1
47973 -1 -2	337	1
34893 -1 34897 -1 -2	212	1
12807 -1 33437 -1 -2	42	1
10857 -1 12835 -1 -2	40	1
12487 -1 12895 -1 -2	226	1
12407 -1 -2	756	1
12695 -1 12699 -1 -2	49	1
18587 -1 -2	221	1
12855 -1 33433 -1 -2	41	1
12411 -1 12895 -1 -2	44	1
12431 -1 32213 -1 -2	8	1
10311 -1 54673 -1 -2	33	1
35153 -1 35165 -1 -2	107	1
12715 -1 34921 -1 -2	7	1
12823 -1 12895 -1 -2	113	1
12299 -1 12435 -1 -2	57	1
12407 -1 12783 -1 -2	9	1
18511 -1 18671 -1 -2	10	1
12483 -1 12759 -1 -2	118	1
32201 -1 46285 -1 -2	13	1
18499 -1 18815 -1 -2	12	1
12495 -1 12687 -1 -2	66	1
12827 -1 34901 -1 -2	58	1
10857 -1 35149 -1 -2	37	1
12703 -1 33469 -1 -2	145	1
12475 -1 12723 -1 -2	7	1
12443 -1 12903 -1 -2	28	1
12823 -1 33469 -1 -2	56	1
10335 -1 12655 -1 -2	49	1
18619 -1 32213 -1 -2	16	1
18563 -1 18763 -1 -2	32	1
12871 -1 12903 -1 -2	100	1
10311 -1 33445 -1 -2	18	1
47285 -1 48667 -1 -2	19	1
12703 -1 18671 -1 -2	24	1
12687 -1 18787 -1 -2	13	1
10857 -1 12483 -1 -2	71	1
12711 -1 33429 -1 -2	5	1
12551 -1 -2	527	2
12779 -1 35185 -1 -2	10	1
12879 -1 33445 -1 -2	29	1
12691 -1 32205 -1 -2	81	1
12403 -1 33445 -1 -2	34	1
12763 -1 18799 -1 -2	4	1
12567 -1 12883 -1 -2	11	1
18619 -1 -2	457	2
12471 -1 33437 -1 -2	31	1
10339 -1 -2	455	1
12431 -1 18571 -1 -2	22	1
12403 -1 12855 -1 -2	30	1
18579 -1 18595 -1 -2	5	1
12823 -1 32209 -1 -2	23	1
12371 -1 12847 -1 -2	32	1
12863 -1 34925 -1 -2	29	1
12323 -1 12567 -1 -2	10	1
12447 -1 18871 -1 -2	18	1
12687 -1 12827 -1 -2	105	1
34909 -1 34913 -1 -2	84	1
12775 -1 12843 -1 -2	14	1
12395 -1 35149 -1 -2	40	1
10881 -1 12847 -1 -2	3	1
12603 -1 34885 -1 -2	19	1
10307 -1 12647 -1 -2	72	1
10315 -1 12679 -1 -2	225	1
18447 -1 35161 -1 -2	26	1
12627 -1 12759 -1 -2	61	1
33457 -1 34909 -1 -2	36	1
35149 -1 35193 -1 -2	40	1
10319 -1 12827 -1 -2	17	1
10893 -1 34929 -1 -2	4	1
10833 -1 10853 -1 -2	34	1
12715 -1 12759 -1 -2	108	2
12811 -1 -2	129	1
12683 -1 12847 -1 -2	52	1
10857 -1 10869 -1 -2	18	1
12603 -1 12855 -1 -2	7	1
18711 -1 35201 -1 -2	1	1
12851 -1 33449 -1 -2	34	1
12807 -1 18443 -1 -2	22	1
12347 -1 12559 -1 -2	28	1
12695 -1 18639 -1 -2	22	1
12715 -1 32205 -1 -2	46	1
33441 -1 35165 -1 -2	34	1
12831 -1 33457 -1 -2	49	1
10311 -1 12459 -1 -2	31	1
18571 -1 33457 -1 -2	21	1
10299 -1 12559 -1 -2	8	1
12483 -1 12703 -1 -2	337	1
10311 -1 12695 -1 -2	256	1
12895 -1 35165 -1 -2	37	1
34909 -1 35153 -1 -2	41	1
12419 -1 12427 -1 -2	25	1
12831 -1 12903 -1 -2	57	1
12679 -1 33469 -1 -2	116	1
12675 -1 12899 -1 -2	7	1
12355 -1 12811 -1 -2	6	1
10339 -1 32205 -1 -2	41	1
12343 -1 18419 -1 -2	21	1
12715 -1 12895 -1 -2	88	1
56699 -1 56703 -1 -2	7	1
12355 -1 12779 -1 -2	20	1
18543 -1 18599 -1 -2	27	1
12419 -1 18427 -1 -2	22	1
18459 -1 18759 -1 -2	29	1
12575 -1 18619 -1 -2	7	1
12827 -1 34889 -1 -2	62	1
10299 -1 12523 -1 -2	64	1
10865 -1 12755 -1 -2	28	1
33429 -1 34885 -1 -2	192	1
47277 -1 -2	164	1
18871 -1 -2	394	1
18831 -1 35193 -1 -2	2	1
12347 -1 12747 -1 -2	7	1
12683 -1 34905 -1 -2	88	1
12683 -1 34909 -1 -2	33	1
12895 -1 32213 -1 -2	130	2
12399 -1 12459 -1 -2	31	1
12679 -1 12879 -1 -2	51	1
12571 -1 32213 -1 -2	212	2
12483 -1 12571 -1 -2	124	1
12451 -1 18571 -1 -2	20	1
12751 -1 -2	1039	1
12463 -1 12831 -1 -2	104	1
12691 -1 34897 -1 -2	93	1
10829 -1 12631 -1 -2	14	1
18427 -1 35205 -1 -2	25	1
12803 -1 18483 -1 -2	1	1
18443 -1 33453 -1 -2	24	1
12419 -1 35177 -1 -2	28	1
18599 -1 -2	165	1
12523 -1 12715 -1 -2	17	1
12879 -1 35209 -1 -2	34	1
18555 -1 35205 -1 -2	24	1
12483 -1 34889 -1 -2	78	1
47949 -1 47953 -1 -2	182	1
47945 -1 47973 -1 -2	210	1
18619 -1 33441 -1 -2	25	1
12447 -1 12507 -1 -2	17	1
12403 -1 18487 -1 -2	9	1
12883 -1 18651 -1 -2	23	1
12703 -1 18743 -1 -2	21	1
12579 -1 -2	244	1
12503 -1 47965 -1 -2	3	1
12575 -1 12743 -1 -2	25	1
12723 -1 12735 -1 -2	38	1
12655 -1 12659 -1 -2	69	1
12755 -1 18699 -1 -2	2	1
12343 -1 12399 -1 -2	46	1
10307 -1 33469 -1 -2	242	1
12371 -1 12483 -1 -2	40	1
12483 -1 48707 -1 -2	32	1
12367 -1 34929 -1 -2	34	1
18431 -1 18483 -1 -2	5	1
12531 -1 46285 -1 -2	25	1
10319 -1 10849 -1 -2	11	1
12807 -1 12899 -1 -2	41	1
10291 -1 -2	472	1
10291 -1 52973 -1 -2	14	1
33429 -1 54657 -1 -2	12	1
12567 -1 47281 -1 -2	3	1
12479 -1 12535 -1 -2	23	1
12627 -1 32213 -1 -2	49	1
12831 -1 12847 -1 -2	61	1
12663 -1 12891 -1 -2	15	1
12819 -1 34897 -1 -2	27	1
12459 -1 12671 -1 -2	46	1
48679 -1 48703 -1 -2	38	1
10857 -1 12603 -1 -2	19	1
34885 -1 34905 -1 -2	149	1
10865 -1 12695 -1 -2	56	1
12875 -1 32201 -1 -2	44	1
10307 -1 12621 -1 -2	179	1
18763 -1 34893 -1 -2	21	1
12747 -1 32201 -1 -2	21	1
10291 -1 34905 -1 -2	36	1
12351 -1 12695 -1 -2	9	1
12731 -1 12907 -1 -2	7	1
12815 -1 12863 -1 -2	13	1
12447 -1 12495 -1 -2	32	1
12767 -1 54673 -1 -2	2	1
12487 -1 12667 -1 -2	66	1
12355 -1 12451 -1 -2	53	1
12399 -1 18431 -1 -2	24	1
10829 -1 12487 -1 -2	52	1
10833 -1 10837 -1 -2	28	1
18631 -1 35169 -1 -2	24	1
12715 -1 54665 -1 -2	6	1
10857 -1 12755 -1 -2	41	1
34889 -1 -2	755	2
10865 -1 12803 -1 -2	39	1
18451 -1 18763 -1 -2	31	1
12547 -1 18599 -1 -2	10	1
12827 -1 12843 -1 -2	53	1
12779 -1 33465 -1 -2	17	1
12407 -1 12467 -1 -2	33	1
12399 -1 33469 -1 -2	23	1
18663 -1 18711 -1 -2	4	1
12431 -1 35177 -1 -2	31	1
12659 -1 -2	1006	3
12523 -1 12863 -1 -2	40	1
18519 -1 27389 -1 -2	5	1
32201 -1 32213 -1 -2	200	1
12403 -1 18631 -1 -2	24	1
10303 -1 32197 -1 -2	62	1
12407 -1 35209 -1 -2	30	1
12355 -1 18827 -1 -2	4	1
12463 -1 12487 -1 -2	204	1
12779 -1 33425 -1 -2	32	1
12439 -1 12495 -1 -2	7	1
10881 -1 32205 -1 -2	7	1
10307 -1 12895 -1 -2	439	1
10849 -1 12511 -1 -2	6	1
12819 -1 12883 -1 -2	18	1
18511 -1 18763 -1 -2	6	1
10291 -1 12847 -1 -2	32	1
12795 -1 18751 -1 -2	24	1
12531 -1 35149 -1 -2	35	1
18587 -1 18603 -1 -2	32	1
12679 -1 -2	1788	1
12423 -1 12555 -1 -2	4	1
12399 -1 12419 -1 -2	65	1
10299 -1 12831 -1 -2	102	1
33437 -1 33465 -1 -2	113	1
10307 -1 12831 -1 -2	233	1
34901 -1 34921 -1 -2	58	1
12831 -1 54657 -1 -2	11	1
12423 -1 18655 -1 -2	2	1
12627 -1 12739 -1 -2	49	1
12755 -1 48707 -1 -2	22	1
12627 -1 32205 -1 -2	69	1
12731 -1 12831 -1 -2	22	1
12811 -1 12883 -1 -2	11	1
12823 -1 12859 -1 -2	42	1
12427 -1 12831 -1 -2	9	1
12751 -1 12819 -1 -2	29	1
12487 -1 32213 -1 -2	506	1
33453 -1 33457 -1 -2	106	1
10327 -1 35157 -1 -2	5	1
33437 -1 35193 -1 -2	28	1
18847 -1 18879 -1 -2	4	1
12371 -1 12475 -1 -2	30	1
10295 -1 33449 -1 -2	280	1
10881 -1 12335 -1 -2	34	1
18619 -1 32205 -1 -2	14	1
12447 -1 12847 -1 -2	31	1
10311 -1 10315 -1 -2	771	1
10307 -1 12859 -1 -2	9	1
12807 -1 18679 -1 -2	21	1
12703 -1 30267 -1 -2	5	1
35193 -1 35201 -1 -2	53	1
12483 -1 12875 -1 -2	290	1
12863 -1 -2	158	1
18439 -1 34929 -1 -2	21	1
18527 -1 18735 -1 -2	13	1
10339 -1 48651 -1 -2	5	1
12527 -1 18675 -1 -2	28	1
12523 -1 12831 -1 -2	81	1
12663 -1 52973 -1 -2	13	1
10857 -1 12883 -1 -2	40	1
12703 -1 34897 -1 -2	95	1
10295 -1 12355 -1 -2	26	1
10331 -1 10335 -1 -2	235	1
34925 -1 -2	278	1
12815 -1 -2	704	1
18447 -1 -2	235	1
12679 -1 35169 -1 -2	33	1
35189 -1 46285 -1 -2	18	1
12627 -1 34885 -1 -2	94	1
12471 -1 33441 -1 -2	32	1
18763 -1 33465 -1 -2	22	1
12559 -1 18635 -1 -2	9	1
12883 -1 -2	498	2
10841 -1 10877 -1 -2	96	1
12355 -1 12563 -1 -2	21	1
12431 -1 12511 -1 -2	7	1
12355 -1 12823 -1 -2	38	1
18431 -1 18603 -1 -2	35	1
10339 -1 12903 -1 -2	13	1
33429 -1 33445 -1 -2	79	1
12815 -1 32217 -1 -2	16	1
48675 -1 -2	587	1
18647 -1 18651 -1 -2	35	1
35177 -1 35181 -1 -2	105	1
10299 -1 34889 -1 -2	37	1
18543 -1 18671 -1 -2	27	1
12827 -1 18671 -1 -2	22	1
12419 -1 12431 -1 -2	80	1
12887 -1 33469 -1 -2	24	1
10849 -1 12395 -1 -2	36	1
33425 -1 33449 -1 -2	168	1
12687 -1 33453 -1 -2	71	1
12663 -1 -2	1793	2
32201 -1 -2	596	2
18647 -1 18663 -1 -2	34	1
18595 -1 34889 -1 -2	24	1
18563 -1 27389 -1 -2	6	1
18431 -1 18615 -1 -2	30	1
18615 -1 -2	92	1
18539 -1 35161 -1 -2	24	1
12571 -1 34893 -1 -2	143	1
12755 -1 47961 -1 -2	1	1
12403 -1 12731 -1 -2	15	1
12423 -1 12783 -1 -2	6	1
12663 -1 12835 -1 -2	106	1
10857 -1 18631 -1 -2	23	1
12711 -1 -2	521	1
12607 -1 12615 -1 -2	46	1
12827 -1 18767 -1 -2	22	1
12855 -1 12891 -1 -2	48	1
32213 -1 54661 -1 -2	68	1
18679 -1 35201 -1 -2	24	1
10861 -1 12451 -1 -2	31	1
18539 -1 33429 -1 -2	22	1
18447 -1 18603 -1 -2	41	1
10299 -1 12531 -1 -2	65	1
18563 -1 18583 -1 -2	36	1
12419 -1 35201 -1 -2	30	1
12403 -1 -2	411	1
12495 -1 33449 -1 -2	89	1
12683 -1 12855 -1 -2	56	1
12471 -1 33457 -1 -2	31	1
18439 -1 34889 -1 -2	23	1
12647 -1 12719 -1 -2	11	1
12667 -1 32197 -1 -2	26	1
10853 -1 12587 -1 -2	7	1
12795 -1 18547 -1 -2	30	1
12779 -1 12875 -1 -2	30	1
10295 -1 12723 -1 -2	93	1
18539 -1 18743 -1 -2	28	1
12567 -1 18707 -1 -2	12	1
10307 -1 10315 -1 -2	496	1
18655 -1 18787 -1 -2	8	1
12823 -1 35173 -1 -2	4	1
12399 -1 34901 -1 -2	35	1
