#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

2 3 6 -1 -2	753	2
4 -1 4 -1 4 -1 -2	13331	3
2 -1 3 -1 1 -1 -2	8664	4
1 2 5 -1 -2	19671	5
6 -1 1 -1 -2	6209	2
3 -1 3 5 -1 -2	16757	2
3 -1 3 -1 3 -1 -2	16676	2
5 -1 3 -1 5 -1 -2	19850	2
1 4 5 -1 -2	13831	2
1 5 -1 3 -1 -2	18058	3
2 4 -1 -2	7985	6
5 -1 1 6 -1 -2	4811	1
6 -1 1 -1 6 -1 -2	3575	1
3 -1 4 5 -1 -2	6793	1
1 -1 2 -1 -2	27270	5
5 -1 -2	83671	15
3 -1 3 -1 5 -1 -2	16461	2
1 -1 5 -1 3 -1 -2	17464	3
2 -1 3 -1 5 -1 -2	8952	2
5 -1 1 -1 5 -1 -2	53031	3
1 -1 5 6 -1 -2	4992	1
1 3 -1 4 -1 -2	6471	2
3 -1 5 -1 1 -1 -2	17042	5
4 -1 1 5 -1 -2	15778	4
2 -1 5 -1 5 -1 -2	24978	1
5 -1 6 -1 1 -1 -2	5071	2
5 -1 1 -1 4 -1 -2	15350	2
1 -1 3 6 -1 -2	1634	1
1 -1 4 -1 5 -1 -2	15175	4
4 5 -1 2 -1 -2	8682	1
3 -1 1 3 -1 -2	15637	2
4 -1 5 -1 4 -1 -2	13706	1
1 -1 3 5 -1 -2	17381	2
2 -1 2 -1 -2	28506	3
4 -1 2 -1 5 -1 -2	8384	1
1 2 -1 4 -1 -2	7932	1
5 -1 2 -1 4 -1 -2	8304	1
1 4 -1 -2	17334	3
3 -1 3 -1 1 -1 -2	15537	4
3 -1 5 -1 5 -1 -2	19541	4
5 -1 5 -1 2 -1 -2	25922	5
1 -1 1 -1 6 -1 -2	5350	2
5 -1 2 -1 2 -1 -2	21535	1
6 -1 4 5 -1 -2	2265	1
6 -1 1 -1 1 -1 -2	5255	1
1 2 -1 2 -1 -2	19396	3
4 5 -1 5 -1 -2	16908	1
4 -1 2 -1 3 -1 -2	3858	1
6 -1 6 -1 -2	5160	1
5 -1 5 -1 4 -1 -2	17439	3
1 -1 2 5 -1 -2	21853	5
4 5 -1 4 -1 -2	14074	1
1 5 -1 2 -1 -2	22882	3
2 5 -1 -2	27709	3
5 -1 3 -1 -2	22905	2
4 -1 3 -1 2 -1 -2	3829	1
4 -1 1 -1 2 -1 -2	7929	1
6 -1 2 -1 2 -1 -2	2308	1
5 -1 2 5 -1 -2	25347	1
5 -1 2 3 -1 -2	7652	1
4 6 -1 1 -1 -2	1400	1
2 5 -1 1 -1 -2	21778	3
4 -1 3 -1 1 -1 -2	6331	2
4 -1 3 -1 3 -1 -2	5572	1
4 -1 5 -1 3 -1 -2	6666	2
1 -1 4 -1 4 -1 -2	12934	2
3 5 -1 3 -1 -2	16819	1
1 3 -1 3 -1 -2	15563	2
2 -1 2 3 -1 -2	7009	1
2 -1 1 4 -1 -2	7857	1
3 -1 5 -1 3 -1 -2	16516	2
3 -1 3 -1 4 -1 -2	5643	1
6 -1 1 -1 3 -1 -2	2187	1
6 -1 6 -1 6 -1 -2	3462	2
1 -1 2 -1 3 -1 -2	8850	1
4 -1 1 -1 -2	18786	5
2 -1 2 -1 6 -1 -2	2300	1
5 6 -1 -2	6135	1
3 -1 1 -1 5 -1 -2	17064	2
1 -1 3 -1 4 -1 -2	6428	2
5 -1 3 -1 3 -1 -2	16695	1
3 -1 2 -1 4 -1 -2	3741	1
4 -1 -2	24379	2
5 -1 2 -1 1 -1 -2	22179	3
4 -1 4 5 -1 -2	14038	1
1 -1 3 -1 3 -1 -2	15643	3
2 -1 2 -1 4 -1 -2	7304	1
3 -1 3 -1 -2	22143	1
5 -1 4 -1 1 -1 -2	15226	1
3 -1 3 4 -1 -2	4809	1
5 -1 1 -1 6 -1 -2	5011	1
2 -1 4 -1 2 -1 -2	7136	1
5 -1 1 -1 2 -1 -2	22153	2
2 -1 4 5 -1 -2	8354	1
3 4 -1 6 -1 -2	924	2
2 4 -1 4 -1 -2	6040	2
2 -1 6 -1 1 -1 -2	2540	1
1 3 6 -1 -2	1551	1
6 -1 1 -1 5 -1 -2	4960	1
1 -1 1 6 -1 -2	5067	4
3 -1 1 4 -1 -2	6422	1
3 5 -1 5 -1 -2	19507	2
2 4 -1 3 -1 -2	3355	1
2 3 -1 2 -1 -2	6995	1
1 4 -1 4 -1 -2	12915	1
3 -1 1 -1 2 -1 -2	8737	2
4 5 -1 -2	18649	1
4 -1 5 -1 5 -1 -2	16829	1
2 -1 5 -1 3 -1 -2	9085	1
2 -1 5 -1 2 -1 -2	21420	3
6 -1 -2	7922	1
3 5 -1 1 -1 -2	17274	2
2 -1 2 -1 5 -1 -2	21810	4
1 2 4 -1 -2	5953	3
1 -1 4 5 -1 -2	15001	3
4 -1 4 -1 2 -1 -2	6875	1
2 5 -1 3 -1 -2	9279	1
1 -1 3 -1 6 -1 -2	2218	1
3 -1 6 -1 -2	2710	1
1 -1 6 -1 1 -1 -2	5288	2
2 -1 1 2 -1 -2	19395	1
4 -1 5 -1 2 -1 -2	8358	2
3 -1 2 -1 1 -1 -2	8685	1
4 -1 2 -1 2 -1 -2	7175	1
2 5 -1 5 -1 -2	25052	2
2 -1 4 -1 5 -1 -2	8164	1
2 -1 2 5 -1 -2	22115	1
1 -1 6 -1 4 -1 -2	2237	1
5 -1 4 -1 5 -1 -2	17163	1
5 -1 2 -1 5 -1 -2	25519	3
5 6 -1 1 -1 -2	5005	1
1 3 5 -1 -2	15903	2
6 -1 5 -1 5 -1 -2	5539	1
2 -1 1 -1 6 -1 -2	2565	1
1 -1 2 4 -1 -2	6582	1
1 4 -1 5 -1 -2	14693	1
5 -1 6 -1 6 -1 -2	3660	1
3 -1 5 -1 -2	22674	1
2 -1 6 -1 5 -1 -2	2597	1
2 -1 5 -1 6 -1 -2	2602	1
3 -1 2 5 -1 -2	9251	1
2 3 -1 5 -1 -2	7605	1
2 3 -1 6 -1 -2	1224	1
