#subsequence (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

4 -1 1 -1 5 -1 -2	10790	7
2 -1 2 5 -1 1 -1 -2	11944	1
2 -1 5 -1 2 -1 -2	16420	5
1 -1 1 4 -1 -2	11762	5
2 -1 3 -1 -2	7897	17
2 6 -1 -2	1702	3
4 -1 3 -1 -2	5351	7
2 4 -1 2 -1 -2	4603	4
1 -1 1 5 -1 1 5 -1 -2	33720	1
1 -1 1 -1 5 -1 -2	43708	22
5 -1 6 -1 6 -1 -2	2705	1
1 4 5 -1 -2	10431	2
1 4 -1 1 -1 -2	11720	2
2 5 -1 4 -1 -2	5862	2
6 -1 1 -1 -2	4664	16
2 5 -1 2 -1 -2	17653	3
1 4 5 -1 5 -1 -2	9215	1
2 -1 1 -1 1 -1 2 -1 -2	10439	1
3 -1 3 -1 1 -1 -2	11721	2
1 2 -1 -2	19530	48
1 -1 1 5 -1 -2	45178	36
1 5 -1 3 -1 -2	13528	5
1 5 -1 4 5 -1 -2	10327	1
2 -1 5 -1 -2	23364	43
1 -1 2 -1 -2	21414	66
3 -1 1 -1 -2	16697	58
5 -1 1 -1 1 -1 4 -1 -2	8429	1
4 -1 3 5 -1 -2	4520	2
5 6 -1 1 -1 1 -1 -2	3041	1
1 -1 2 5 -1 -2	16546	6
6 -1 4 -1 -2	1747	4
2 -1 1 -1 2 5 -1 -2	11512	1
2 -1 6 -1 -2	2124	4
1 -1 2 -1 5 -1 -2	16239	4
5 -1 5 -1 5 -1 4 -1 -2	10047	1
3 -1 3 -1 1 -1 1 -1 5 -1 -2	5170	1
1 5 -1 1 -1 3 -1 3 -1 -2	6887	1
1 -1 3 -1 -2	16946	59
4 -1 1 -1 2 -1 1 4 -1 -2	2663	1
4 -1 2 4 -1 -2	4454	2
5 -1 3 -1 5 -1 -2	14922	3
5 -1 1 -1 2 -1 -2	16256	1
2 -1 2 -1 6 -1 -2	1489	1
5 -1 1 -1 1 -1 -2	43262	16
2 -1 2 5 -1 2 -1 -2	12645	1
2 4 -1 1 -1 -2	4681	3
1 -1 1 -1 3 -1 -2	14043	10
1 -1 1 -1 6 -1 1 -1 -2	2997	1
3 -1 4 -1 -2	5365	11
3 -1 1 -1 1 -1 -2	13452	7
6 -1 5 -1 -2	4867	11
1 -1 2 -1 1 -1 1 -1 4 5 -1 -2	2504	1
1 2 4 -1 -2	4195	1
5 -1 5 -1 1 -1 -2	44829	20
1 5 -1 1 -1 -2	45173	23
5 -1 2 5 -1 -2	20173	2
1 6 -1 -2	4298	15
4 5 -1 1 -1 1 -1 1 -1 -2	7045	1
1 -1 1 -1 1 -1 1 -1 -2	40248	8
2 -1 2 -1 5 -1 -2	16836	1
5 -1 2 -1 5 -1 -2	19604	3
1 2 -1 2 5 -1 -2	12067	1
4 -1 1 2 -1 -2	5504	3
1 4 -1 5 -1 2 -1 5 -1 -2	3440	1
5 -1 6 -1 -2	4944	12
1 5 -1 1 -1 1 3 -1 -2	9640	1
5 -1 3 -1 -2	18046	40
3 4 5 -1 3 -1 -2	2729	2
3 -1 1 3 5 -1 2 -1 -2	3535	1
3 -1 1 4 -1 4 -1 -2	2731	1
1 2 -1 2 -1 -2	15090	2
1 5 -1 5 -1 1 -1 -2	37691	5
2 5 -1 5 -1 1 -1 4 -1 -2	3623	1
1 -1 4 -1 2 -1 -2	5352	3
3 -1 3 -1 4 -1 -2	3699	1
2 4 -1 1 4 -1 1 2 -1 -2	2120	1
1 -1 4 -1 1 -1 -2	11629	7
1 -1 1 -1 1 5 -1 -2	37504	3
5 -1 1 -1 1 4 -1 1 -1 -2	7116	1
1 -1 1 -1 1 5 -1 1 2 3 -1 1 -1 -2	2088	1
1 4 -1 5 -1 -2	10908	4
5 -1 6 -1 5 -1 -2	4067	3
2 -1 4 -1 5 -1 1 -1 -2	3885	1
6 -1 5 6 -1 -2	3072	1
1 -1 5 -1 3 -1 -2	12758	5
4 6 -1 -2	1158	3
1 -1 3 5 -1 5 -1 -2	10878	1
1 4 -1 4 -1 -2	9937	2
1 4 -1 6 -1 1 -1 3 -1 1 2 3 -1 -2	169	1
1 -1 1 -1 4 -1 -2	11898	7
2 4 -1 -2	5967	15
6 -1 1 5 -1 -2	3834	2
1 5 -1 4 5 -1 1 -1 -2	8359	2
5 -1 4 -1 -2	15619	21
1 -1 2 -1 6 -1 -2	1686	1
2 3 -1 -2	6563	11
1 -1 2 -1 5 -1 1 -1 -2	12193	1
5 -1 1 -1 3 5 -1 -2	11049	1
1 -1 3 4 -1 -2	3486	3
1 3 -1 1 -1 5 6 -1 -2	1068	1
5 -1 1 -1 1 3 -1 1 -1 -2	8283	1
5 -1 2 -1 1 4 -1 2 -1 -2	2769	1
1 -1 2 -1 1 -1 -2	17297	10
3 -1 5 -1 3 -1 3 5 -1 -2	6642	1
4 -1 4 -1 2 -1 -2	4665	1
1 -1 5 -1 6 -1 -2	3534	2
1 2 -1 4 -1 1 -1 -2	4408	1
6 -1 3 -1 -2	1747	2
4 5 -1 1 3 -1 -2	3728	1
2 -1 5 -1 1 -1 -2	16123	3
5 -1 1 -1 5 -1 -2	44121	10
2 -1 1 -1 1 -1 -2	16978	10
1 -1 3 -1 4 -1 -2	4130	3
4 -1 2 5 -1 -2	5964	3
5 -1 3 -1 3 -1 -2	12548	3
2 5 -1 -2	22494	33
2 -1 2 -1 2 -1 -2	17213	2
6 -1 1 -1 4 -1 1 -1 1 -1 -2	690	1
2 -1 5 -1 5 -1 5 -1 4 -1 -2	3129	1
4 5 -1 3 -1 -2	4497	1
3 6 -1 -2	1328	2
5 -1 1 -1 1 4 -1 -2	9178	1
1 4 5 -1 1 -1 1 -1 -2	7685	1
5 -1 5 -1 1 -1 5 -1 -2	33910	1
1 -1 1 2 5 -1 -2	13334	1
2 -1 2 -1 3 4 -1 1 -1 -2	1159	1
2 5 -1 1 -1 1 -1 -2	13391	1
5 -1 4 -1 1 -1 1 -1 -2	8203	1
4 -1 1 -1 4 -1 -2	9587	4
1 2 5 -1 -2	15122	2
2 3 -1 1 -1 -2	5183	3
4 -1 5 -1 4 -1 -2	10237	3
1 -1 1 -1 1 4 -1 -2	9934	1
1 -1 4 -1 5 -1 -2	10929	5
2 -1 4 -1 2 -1 3 -1 -2	1501	1
2 -1 2 -1 1 -1 1 2 -1 5 -1 -2	4755	1
1 5 -1 1 5 -1 -2	41111	1
1 -1 5 -1 2 4 -1 1 6 -1 -2	385	1
5 -1 4 5 -1 5 -1 3 -1 3 -1 5 -1 -2	1103	1
5 -1 4 -1 1 -1 -2	10982	2
1 -1 5 -1 1 5 -1 -2	37426	4
1 -1 1 -1 2 -1 -2	17447	10
1 -1 3 -1 1 3 -1 6 -1 1 3 -1 -2	422	1
1 -1 1 -1 1 -1 5 -1 -2	32590	3
2 -1 4 -1 1 -1 2 -1 2 -1 -2	1770	1
4 -1 1 5 -1 -2	11691	5
1 -1 4 -1 6 -1 -2	1186	1
1 6 -1 1 -1 -2	3804	3
3 5 -1 5 -1 5 -1 3 -1 -2	8049	1
1 3 -1 3 -1 -2	12036	2
2 -1 2 -1 1 -1 6 -1 3 -1 4 -1 -2	144	1
2 -1 1 -1 1 -1 3 -1 -2	4603	1
1 3 5 -1 1 -1 -2	10505	2
1 -1 3 -1 5 -1 1 -1 -2	9605	1
1 -1 1 5 -1 1 2 -1 -2	12025	1
1 -1 2 4 -1 1 -1 -2	3819	2
3 -1 1 -1 3 4 -1 4 -1 5 -1 -2	984	1
5 -1 1 2 5 -1 -2	13560	1
2 -1 3 -1 1 -1 5 -1 -2	4408	1
3 -1 6 -1 1 -1 4 -1 1 -1 -2	376	1
1 -1 3 -1 1 -1 -2	13718	4
1 -1 5 -1 2 -1 3 -1 -2	4533	1
2 5 -1 5 -1 -2	20046	6
3 5 -1 2 -1 1 -1 6 -1 5 -1 -2	410	1
1 -1 1 2 -1 1 3 4 -1 2 4 -1 -2	657	1
5 -1 1 5 -1 1 -1 -2	37708	1
5 -1 5 -1 4 -1 -2	12961	1
5 -1 1 5 -1 5 -1 1 -1 -2	28711	1
1 5 -1 3 -1 3 -1 1 -1 -2	6828	2
1 -1 3 5 -1 1 4 -1 -2	3160	1
1 5 -1 1 4 -1 1 -1 -2	8245	1
2 -1 3 -1 1 -1 -2	5908	3
1 -1 5 -1 3 -1 1 3 -1 -2	6530	1
1 2 5 -1 1 -1 3 -1 -2	4344	1
1 -1 2 -1 2 -1 1 -1 -2	10659	3
5 -1 1 -1 5 -1 1 -1 -2	32331	1
4 -1 4 -1 3 -1 -2	3601	1
5 -1 1 -1 1 2 5 -1 -2	11370	1
2 -1 5 -1 1 6 -1 -2	1365	1
1 2 -1 1 -1 1 -1 5 -1 -2	10218	1
5 6 -1 5 -1 2 -1 2 -1 1 2 -1 2 -1 -2	302	1
2 -1 1 2 -1 -2	15196	4
3 -1 1 -1 3 -1 -2	11617	4
2 -1 5 -1 1 -1 5 -1 1 -1 -2	8500	1
1 -1 1 -1 3 4 -1 -2	2955	2
2 -1 2 -1 2 5 -1 1 -1 -2	7541	1
2 3 5 -1 1 2 -1 -2	3418	1
4 -1 6 -1 -2	1520	4
1 2 -1 4 -1 -2	5375	1
1 -1 1 5 -1 5 -1 1 -1 -2	28132	1
2 -1 1 -1 5 -1 -2	15938	4
1 -1 1 -1 1 6 -1 5 -1 -2	2348	1
3 -1 1 5 -1 3 -1 -2	9154	4
1 -1 3 -1 3 -1 1 -1 4 -1 3 -1 6 -1 5 -1 -2	50	1
2 -1 1 -1 4 -1 -2	5271	2
1 -1 6 -1 1 -1 -2	3887	4
1 -1 1 -1 5 -1 5 -1 -2	32292	1
1 3 -1 5 -1 -2	12422	3
1 3 5 -1 5 -1 -2	10554	1
1 5 6 -1 -2	3438	1
1 2 5 -1 5 -1 -2	13482	1
5 -1 2 3 -1 -2	5367	2
5 -1 5 -1 5 -1 1 4 -1 -2	7281	1
1 -1 1 2 -1 1 5 -1 -2	11998	1
5 -1 3 5 -1 -2	15378	1
5 -1 3 -1 1 -1 -2	12674	4
1 5 -1 2 -1 5 -1 -2	14490	1
2 -1 1 -1 4 -1 6 -1 -2	523	1
1 -1 1 -1 1 -1 6 -1 -2	3001	1
5 6 -1 -2	4685	6
1 6 -1 1 -1 4 -1 1 -1 -2	885	1
1 -1 1 4 -1 1 4 -1 3 -1 -2	1976	1
4 -1 5 -1 1 -1 -2	10871	7
2 -1 5 -1 2 -1 5 -1 -2	12098	1
2 -1 1 5 -1 1 5 -1 -2	12645	1
5 -1 3 -1 2 5 -1 -2	5459	1
5 -1 1 2 5 -1 5 -1 -2	11604	1
1 4 -1 5 -1 1 5 -1 -2	8157	1
1 -1 1 -1 2 4 -1 2 -1 -2	2472	1
2 -1 2 5 -1 -2	17631	3
4 -1 4 -1 1 5 -1 -2	7820	2
1 2 3 -1 1 -1 5 -1 -2	3486	1
3 -1 1 3 -1 -2	12079	3
4 -1 2 -1 -2	7412	10
6 -1 2 -1 -2	2201	3
5 -1 1 -1 4 -1 4 -1 -2	6449	1
2 -1 4 -1 5 -1 3 -1 -2	1757	1
1 -1 2 -1 4 -1 -2	5333	4
3 -1 3 -1 1 -1 1 -1 -2	8415	1
1 -1 3 5 -1 1 -1 -2	10594	2
2 3 -1 1 -1 5 -1 1 -1 3 -1 -2	1930	1
1 2 -1 1 -1 3 -1 -2	5096	1
5 -1 2 -1 2 -1 -2	16471	6
5 -1 1 5 -1 2 6 -1 -2	1091	1
6 -1 3 -1 1 -1 -2	1358	1
3 -1 6 -1 -2	1773	1
6 -1 1 -1 4 -1 2 -1 -2	556	1
4 -1 5 -1 5 -1 -2	12534	3
3 -1 1 5 -1 5 -1 1 -1 -2	8352	1
1 -1 1 -1 4 -1 3 -1 -2	3193	1
2 -1 5 -1 5 -1 5 -1 -2	14726	1
2 -1 5 -1 3 -1 4 5 -1 1 -1 -2	1218	1
3 -1 2 -1 4 -1 3 -1 1 -1 1 6 -1 2 -1 5 -1 1 4 -1 -2	21	1
2 -1 2 5 -1 5 -1 1 -1 -2	9076	1
1 2 -1 3 -1 1 -1 -2	5049	1
1 2 3 -1 -2	4815	1
4 -1 1 -1 2 3 -1 -2	1681	1
2 -1 2 -1 1 5 -1 -2	12193	1
1 3 5 -1 2 -1 -2	5111	1
1 -1 5 -1 5 -1 3 -1 1 -1 1 -1 -2	4290	1
3 5 -1 1 -1 -2	12882	2
6 -1 5 -1 5 -1 5 6 -1 1 -1 -2	1072	1
1 5 -1 4 -1 -2	11932	2
1 4 -1 1 -1 3 -1 5 -1 -2	2719	1
2 -1 2 -1 5 -1 2 -1 -2	10504	1
5 -1 4 -1 4 5 -1 -2	8881	1
4 -1 6 -1 3 -1 1 2 -1 1 5 -1 2 -1 2 3 5 -1 3 -1 3 -1 -2	20	1
1 -1 2 -1 1 -1 2 -1 -2	10516	1
4 -1 1 -1 1 -1 -2	11528	3
1 5 -1 3 -1 3 -1 4 -1 -2	2324	1
1 -1 2 -1 1 -1 5 -1 -2	12109	1
3 -1 1 2 -1 1 -1 1 -1 -2	3911	1
1 -1 3 6 -1 -2	1123	1
1 -1 5 -1 4 -1 -2	11086	3
1 -1 4 5 -1 -2	11202	4
1 4 -1 6 -1 -2	1297	1
1 2 -1 5 -1 5 -1 -2	13155	1
1 -1 1 -1 1 -1 1 -1 1 -1 5 -1 -2	13379	1
1 5 -1 1 5 -1 1 5 -1 -2	31421	1
5 -1 1 4 -1 4 -1 -2	7364	1
3 -1 3 5 -1 1 -1 -2	8955	2
3 -1 2 -1 2 -1 1 -1 -2	3722	1
1 3 -1 4 5 -1 -2	3709	1
4 -1 2 -1 1 -1 -2	5488	3
2 -1 1 -1 6 -1 -2	1627	1
1 5 -1 1 -1 4 -1 3 -1 5 -1 -2	2099	1
1 -1 1 3 -1 -2	13951	4
5 -1 2 -1 1 -1 -2	16415	5
3 -1 1 5 -1 1 -1 -2	10840	1
1 -1 2 -1 4 -1 1 -1 -2	4056	1
5 -1 3 -1 5 -1 1 -1 -2	9858	1
3 -1 1 5 -1 -2	13259	4
2 -1 2 -1 2 4 -1 -2	3252	1
2 3 -1 2 -1 -2	5117	1
5 -1 3 -1 1 3 -1 -2	8847	3
5 -1 1 -1 3 -1 -2	12802	5
4 -1 1 -1 5 -1 5 -1 -2	8305	1
1 5 -1 6 -1 3 6 -1 5 -1 -2	446	1
1 -1 1 -1 1 3 4 -1 1 -1 2 -1 -2	916	1
1 -1 3 -1 1 -1 1 -1 -2	10451	1
1 -1 2 -1 1 -1 1 3 -1 -2	4007	1
5 -1 1 -1 1 5 -1 -2	37599	3
1 -1 5 -1 1 -1 1 -1 -2	32189	2
3 4 -1 1 5 -1 4 -1 -2	2107	1
1 -1 1 -1 2 -1 2 -1 -2	10499	1
6 -1 1 -1 6 -1 3 -1 -2	710	1
3 -1 4 5 -1 -2	4484	1
3 5 -1 5 -1 -2	15139	1
1 4 -1 4 -1 1 -1 -2	8007	1
4 -1 1 5 -1 1 -1 -2	9509	1
1 -1 1 -1 4 -1 1 -1 5 -1 -2	5777	1
3 -1 1 -1 2 -1 -2	5859	2
5 6 -1 5 -1 1 -1 -2	3107	1
2 5 -1 5 -1 1 -1 -2	14054	1
1 -1 1 -1 2 3 -1 1 -1 -2	3419	1
1 -1 3 5 -1 -2	13070	2
1 -1 3 -1 1 -1 3 -1 -2	8480	2
3 -1 3 -1 5 -1 2 -1 -2	3788	1
1 -1 1 -1 5 -1 1 -1 -2	32488	3
1 3 -1 1 5 -1 -2	11231	1
1 -1 5 -1 3 -1 2 -1 -2	4477	1
1 -1 5 6 -1 -2	3640	2
2 -1 5 -1 2 -1 1 2 -1 -2	7131	1
5 -1 5 -1 1 -1 2 -1 -2	12629	1
1 -1 5 -1 1 -1 1 -1 1 5 -1 -2	18999	1
4 5 -1 2 -1 1 -1 5 -1 -2	3631	1
1 5 -1 1 2 -1 -2	14370	1
2 3 -1 4 -1 -2	2125	1
1 5 -1 5 -1 3 -1 2 -1 -2	4138	1
1 -1 5 -1 1 -1 3 -1 -2	9751	1
3 -1 4 -1 1 -1 4 5 -1 -2	2031	1
1 4 -1 4 -1 5 -1 -2	7411	1
2 5 -1 2 -1 1 -1 2 -1 -2	7506	1
4 5 -1 4 -1 -2	10893	1
2 -1 1 3 -1 1 -1 2 -1 -2	3166	1
1 -1 1 5 -1 1 -1 -2	37466	4
5 -1 5 -1 2 -1 -2	19849	3
3 -1 1 3 -1 1 -1 3 -1 -2	6189	1
2 -1 1 -1 1 -1 2 -1 1 -1 -2	6895	1
3 -1 1 2 -1 -2	6029	1
1 -1 1 -1 2 -1 1 -1 -2	13194	2
1 2 -1 4 -1 2 -1 2 -1 -2	2329	1
2 5 -1 1 -1 -2	16605	2
1 -1 5 -1 5 -1 3 -1 1 -1 1 -1 1 2 -1 -2	1128	1
6 -1 6 -1 -2	4156	2
1 -1 5 -1 5 -1 2 -1 -2	12582	1
3 -1 1 -1 5 -1 2 -1 1 -1 -2	3141	1
1 -1 2 -1 2 -1 -2	14880	5
5 6 -1 3 -1 -2	1505	1
1 6 -1 3 -1 1 -1 1 5 -1 -2	862	1
4 5 -1 1 -1 -2	11188	2
5 -1 2 -1 5 6 -1 5 -1 -2	1222	1
1 3 -1 4 -1 3 -1 1 -1 -2	2174	1
5 -1 2 -1 1 -1 5 -1 2 -1 -2	6706	1
1 -1 1 -1 5 -1 6 -1 -2	2718	1
1 4 5 -1 1 -1 -2	9128	2
5 -1 5 -1 1 -1 6 -1 -2	2740	1
2 -1 4 -1 1 -1 -2	5229	1
4 -1 5 -1 3 -1 3 -1 4 -1 -2	1301	1
1 5 -1 1 2 -1 5 -1 -2	12063	1
5 -1 5 6 -1 -2	4145	3
2 -1 2 -1 3 4 -1 -2	1508	1
3 -1 1 3 5 -1 -2	9094	1
2 5 -1 6 -1 -2	1854	1
1 5 -1 6 -1 -2	3978	2
3 -1 3 -1 1 -1 4 -1 -2	2555	1
2 -1 1 4 -1 1 4 -1 -2	3152	1
1 -1 5 -1 3 -1 1 2 -1 3 -1 -2	2199	1
1 4 -1 5 -1 1 -1 -2	8961	1
1 3 5 -1 -2	12043	4
1 -1 3 -1 5 -1 -2	12627	1
2 3 -1 3 -1 1 -1 -2	3689	1
1 -1 6 -1 6 -1 -2	2552	1
1 6 -1 1 -1 4 -1 5 -1 4 5 -1 1 5 -1 -2	269	1
1 3 5 -1 1 -1 3 -1 -2	7396	1
1 -1 2 3 -1 5 -1 -2	4153	1
2 -1 1 5 -1 4 -1 5 -1 -2	3623	1
2 3 -1 1 5 -1 1 -1 -2	3818	1
1 -1 1 2 -1 -2	17184	3
1 -1 1 5 -1 3 -1 -2	11223	1
4 -1 1 -1 1 -1 1 -1 -2	8813	1
2 -1 1 -1 4 -1 2 -1 -2	3253	1
6 -1 1 3 -1 -2	1485	2
4 -1 6 -1 1 -1 -2	1163	1
1 -1 1 4 -1 1 -1 -2	9737	1
1 -1 1 -1 4 5 -1 -2	9222	1
1 -1 1 -1 6 -1 1 3 -1 -2	1009	1
6 -1 4 -1 1 -1 -2	1301	1
3 5 -1 5 -1 1 -1 -2	10763	2
5 -1 2 4 -1 -2	4866	1
2 -1 5 -1 6 -1 -2	1678	1
3 5 -1 1 -1 1 2 5 -1 -2	4011	1
3 -1 5 -1 3 -1 -2	12358	1
2 3 -1 1 -1 1 -1 -2	4280	1
1 -1 2 -1 3 -1 -2	5929	3
3 -1 2 -1 4 -1 -2	2300	1
5 -1 1 3 -1 5 -1 3 -1 2 -1 -2	2218	1
1 -1 1 2 -1 1 -1 5 -1 -2	10266	1
1 5 -1 2 -1 -2	17257	4
1 -1 2 -1 3 -1 5 -1 -2	4444	1
2 -1 2 -1 5 -1 4 -1 -2	3627	1
2 -1 3 -1 2 5 -1 -2	4495	1
6 -1 4 -1 4 -1 3 -1 -2	349	1
1 5 -1 1 -1 5 -1 -2	37730	1
3 -1 5 -1 4 -1 2 -1 -2	1729	1
1 -1 3 -1 1 5 -1 5 -1 -2	8577	1
1 3 -1 1 3 -1 -2	10675	1
2 5 -1 5 -1 3 -1 -2	5560	1
3 -1 5 -1 5 -1 4 -1 -2	3347	1
2 5 -1 5 -1 5 -1 -2	16923	1
3 -1 1 6 -1 3 -1 -2	976	1
6 -1 6 -1 6 -1 -2	2715	1
2 -1 2 -1 1 -1 1 -1 -2	10930	1
6 -1 1 -1 4 -1 -2	1321	1
3 -1 2 -1 1 -1 1 -1 -2	4474	2
4 -1 3 -1 4 -1 -2	3500	1
1 -1 5 -1 4 -1 1 -1 -2	8364	1
1 2 -1 5 -1 -2	15808	6
2 4 -1 5 -1 -2	4853	3
5 -1 1 -1 3 -1 1 -1 -2	9740	1
5 -1 2 5 -1 1 -1 -2	14165	1
3 -1 1 -1 5 -1 -2	12404	2
5 -1 5 -1 1 -1 1 -1 1 4 -1 5 -1 -2	3253	1
3 -1 3 -1 3 -1 3 -1 5 -1 -2	4359	1
1 2 -1 3 -1 -2	6076	1
3 -1 1 -1 2 -1 3 -1 -2	3633	1
1 -1 3 -1 1 2 -1 -2	5067	1
3 -1 2 -1 3 -1 -2	5336	1
1 4 -1 5 -1 1 4 -1 -2	6440	1
3 -1 2 3 -1 1 -1 6 -1 -2	411	1
3 -1 1 -1 1 -1 5 -1 4 -1 -2	2229	1
3 -1 3 6 -1 -2	1033	1
4 -1 2 3 -1 -2	2098	1
5 -1 5 -1 1 -1 4 -1 -2	8596	1
1 2 -1 3 -1 1 3 5 -1 4 -1 3 -1 3 -1 -2	384	1
3 -1 6 -1 4 -1 -2	609	1
2 4 5 -1 -2	4693	1
3 5 -1 1 -1 4 -1 1 -1 -2	2731	1
3 4 -1 -2	4382	4
5 -1 5 -1 5 -1 5 -1 -2	45762	1
5 -1 5 -1 6 -1 -2	4024	1
2 -1 1 5 -1 1 4 -1 -2	4044	1
5 -1 1 -1 6 -1 5 6 -1 1 -1 -2	979	1
2 -1 6 -1 1 -1 -2	1653	1
1 -1 3 -1 3 -1 -2	11701	3
5 -1 2 5 -1 6 -1 -2	1583	1
3 5 -1 2 -1 3 -1 1 -1 -2	3165	1
5 -1 4 -1 5 -1 4 -1 -2	7486	1
2 -1 2 -1 2 -1 2 -1 -2	10569	1
1 -1 1 5 -1 2 -1 -2	14195	2
4 -1 1 3 5 -1 -2	3673	1
6 -1 1 4 -1 2 3 -1 -2	308	1
1 5 -1 1 -1 1 -1 3 4 -1 -2	2115	1
1 -1 2 -1 1 -1 2 -1 5 -1 1 -1 -2	4004	1
5 -1 1 5 -1 5 -1 -2	38752	3
1 4 -1 4 5 -1 -2	7947	1
1 -1 3 -1 1 3 -1 -2	9754	2
1 -1 1 2 -1 1 2 -1 -2	10690	1
1 -1 1 -1 6 -1 5 -1 1 -1 -2	1934	1
1 -1 1 -1 6 -1 -2	3911	2
5 -1 6 -1 1 -1 -2	3625	1
1 -1 2 -1 1 4 -1 -2	4491	1
1 -1 1 -1 1 5 -1 1 -1 -2	28495	1
1 -1 1 -1 1 -1 4 -1 -2	9050	1
6 -1 1 -1 1 4 -1 -2	1185	1
1 -1 1 -1 2 -1 4 -1 6 -1 2 -1 -2	202	1
3 -1 1 -1 3 -1 1 -1 3 -1 -2	4643	1
1 -1 4 5 -1 5 -1 1 -1 -2	7054	1
1 4 5 -1 1 2 -1 -2	4166	1
1 3 -1 1 -1 -2	13725	3
1 -1 5 -1 3 -1 4 -1 -2	3162	1
3 -1 3 -1 1 5 -1 -2	9226	1
4 -1 3 -1 1 -1 2 -1 -2	1679	1
1 -1 2 -1 1 -1 1 -1 -2	13004	2
2 4 -1 1 -1 1 -1 -2	3832	1
2 -1 3 5 -1 -2	6532	2
1 -1 4 -1 1 4 -1 3 -1 3 -1 3 -1 3 6 -1 1 5 -1 3 -1 -2	22	1
2 -1 1 3 -1 -2	6078	1
4 -1 1 -1 1 5 -1 -2	9485	1
6 -1 6 -1 5 -1 -2	3038	1
1 -1 2 5 -1 3 -1 -2	5014	1
1 5 -1 1 3 -1 -2	11410	1
1 -1 4 -1 5 -1 3 -1 -2	3103	1
1 -1 3 -1 5 -1 3 -1 -2	7907	1
3 5 -1 5 -1 1 -1 1 3 -1 1 -1 -2	4018	1
6 -1 5 -1 4 -1 1 -1 -2	964	1
2 -1 1 -1 3 4 -1 -2	1648	1
1 4 -1 1 -1 5 -1 2 -1 4 -1 -2	1763	1
5 -1 3 -1 2 3 -1 4 -1 -2	1192	1
1 4 -1 2 -1 -2	5449	1
5 -1 5 -1 5 -1 2 -1 5 -1 -2	10834	1
4 -1 2 -1 2 4 -1 -2	2960	1
3 -1 3 -1 2 -1 1 -1 -2	3682	1
2 -1 3 -1 2 -1 5 -1 -2	3929	1
1 5 -1 3 4 5 -1 5 -1 4 -1 -2	1507	1
5 -1 3 -1 3 5 -1 -2	10747	1
1 -1 1 -1 2 -1 1 -1 2 -1 4 -1 -2	1404	1
5 -1 1 -1 1 -1 5 -1 -2	32438	1
3 -1 5 -1 3 -1 3 -1 -2	7718	1
3 -1 2 -1 5 -1 -2	6126	2
6 -1 1 -1 1 -1 -2	3832	2
2 -1 3 -1 1 2 5 -1 -2	3637	1
