#subsequece (s \in Sample : s ~ D)	freq(s,D)	freq(s,Sample)

4 -1 5 -1 1 -1 3 -1 -2	5094	1
1 -1 3 -1 2 -1 3 -1 -2	5715	2
1 -1 5 -1 1 -1 1 -1 -2	41670	5
1 -1 1 -1 2 5 -1 -2	18509	4
1 3 -1 -2	19975	1
1 -1 1 -1 2 -1 2 -1 -2	14899	1
3 -1 1 5 -1 -2	17774	2
3 -1 5 -1 2 -1 5 -1 -2	7441	1
1 -1 4 -1 1 -1 5 -1 -2	11985	1
2 -1 1 -1 5 -1 5 -1 -2	17484	3
1 -1 5 -1 2 -1 5 -1 -2	18097	1
2 5 -1 4 -1 2 -1 -2	6181	1
6 -1 1 3 5 -1 -2	2016	1
6 -1 1 -1 1 -1 4 -1 -2	1670	1
1 3 -1 1 3 -1 -2	13776	2
1 -1 1 -1 4 -1 1 -1 -2	12917	3
2 -1 2 3 -1 5 -1 -2	5688	2
2 -1 3 -1 5 -1 5 -1 -2	7330	1
1 -1 1 6 -1 5 -1 -2	4093	1
3 -1 -2	28139	1
4 -1 1 -1 2 -1 -2	7929	1
1 -1 2 -1 2 -1 -2	19702	2
1 -1 2 -1 1 -1 -2	22807	3
1 -1 5 -1 -2	61318	3
1 -1 1 2 -1 -2	22025	1
3 -1 1 -1 1 -1 1 -1 -2	14477	1
2 -1 2 6 -1 1 -1 -2	1533	1
1 2 -1 1 2 -1 -2	16918	1
1 -1 1 -1 1 2 -1 -2	18995	4
1 -1 1 -1 6 -1 1 -1 -2	4321	4
6 -1 3 -1 5 -1 1 -1 -2	1730	1
5 -1 1 -1 4 -1 -2	15350	2
2 4 5 -1 1 -1 -2	5562	1
1 -1 3 6 -1 1 -1 -2	1378	1
1 -1 1 -1 3 -1 1 -1 -2	15126	5
1 -1 1 -1 5 -1 1 -1 -2	41831	5
1 -1 3 -1 1 -1 1 -1 -2	14649	1
2 -1 1 2 -1 3 -1 -2	6568	2
6 -1 1 -1 1 4 -1 -2	1875	1
4 -1 1 -1 1 5 -1 -2	13240	1
5 -1 3 -1 1 -1 1 -1 -2	13844	1
1 -1 1 -1 1 -1 2 -1 -2	18541	2
4 -1 2 -1 3 -1 -2	3858	1
1 3 -1 1 2 -1 -2	7697	1
3 -1 4 -1 4 5 -1 -2	4562	1
1 -1 3 -1 1 3 -1 -2	12996	3
1 -1 2 -1 1 -1 3 -1 -2	7182	2
2 -1 3 -1 6 -1 2 -1 -2	890	1
2 -1 1 2 -1 -2	19395	1
2 -1 4 -1 6 -1 2 -1 -2	833	1
1 5 -1 5 -1 1 -1 -2	45651	5
4 5 -1 1 -1 1 -1 -2	12579	4
3 -1 2 -1 1 5 -1 -2	7771	1
5 -1 1 -1 3 5 -1 -2	15214	1
3 -1 4 -1 1 -1 2 -1 -2	2981	1
1 -1 3 -1 3 6 -1 -2	1234	1
1 -1 4 -1 2 -1 2 -1 -2	5202	1
5 6 -1 1 -1 5 -1 -2	4390	2
4 -1 3 -1 1 -1 -2	6331	1
5 -1 1 -1 1 -1 -2	52159	5
2 -1 5 6 -1 -2	2699	1
1 -1 2 -1 1 -1 2 -1 -2	14883	2
1 -1 1 3 -1 1 -1 -2	15496	2
1 -1 -2	78307	2
6 -1 1 -1 2 -1 1 -1 -2	2112	1
4 -1 1 -1 5 -1 4 -1 -2	9280	1
1 -1 1 5 -1 -2	52586	5
1 -1 1 2 3 -1 -2	6023	1
3 -1 5 -1 3 -1 1 -1 -2	11289	1
5 -1 5 -1 2 -1 5 -1 -2	21208	2
5 -1 1 -1 2 5 -1 -2	19095	1
1 5 -1 1 -1 -2	52736	3
2 5 -1 6 -1 6 -1 -2	1518	1
5 -1 1 -1 2 -1 -2	22153	1
3 -1 1 -1 1 -1 3 -1 -2	11946	1
1 -1 1 -1 1 -1 -2	61214	9
1 -1 5 -1 5 -1 2 -1 -2	18120	1
2 -1 5 -1 2 -1 -2	21420	3
2 5 -1 3 -1 -2	9279	1
1 -1 2 -1 1 -1 5 -1 -2	17358	1
1 -1 4 -1 5 -1 5 -1 -2	12189	1
5 -1 4 6 -1 1 -1 -2	1206	1
3 -1 1 -1 3 -1 1 -1 -2	11845	1
2 5 -1 1 5 -1 -2	19831	1
2 -1 5 -1 1 -1 1 -1 -2	17221	3
3 -1 3 -1 3 -1 3 -1 -2	10780	1
1 -1 1 -1 1 -1 4 -1 -2	13006	1
2 -1 1 -1 1 -1 -2	22511	1
5 -1 1 -1 3 -1 1 -1 -2	14111	3
1 3 -1 5 -1 1 -1 -2	14119	2
5 -1 1 -1 4 -1 3 -1 -2	5277	1
3 -1 2 -1 3 -1 1 -1 -2	5632	1
2 -1 1 -1 2 -1 -2	19521	2
5 -1 5 -1 1 -1 5 -1 -2	43464	1
1 -1 5 -1 1 5 -1 -2	45392	8
3 -1 1 -1 1 3 -1 -2	13028	2
1 -1 2 -1 2 -1 2 -1 -2	12895	1
4 -1 2 -1 1 2 -1 -2	5750	1
2 -1 2 -1 1 2 -1 -2	14242	1
5 -1 1 5 -1 1 -1 -2	45637	3
2 5 -1 1 2 -1 -2	16148	1
2 -1 1 -1 1 -1 1 -1 -2	18106	4
2 -1 1 -1 1 -1 2 -1 -2	14725	4
5 -1 3 -1 1 3 -1 -2	12233	3
3 -1 5 -1 3 5 -1 -2	14163	1
1 -1 4 -1 1 -1 4 -1 -2	9722	1
3 -1 2 -1 3 5 -1 -2	6612	1
1 -1 2 5 -1 2 -1 -2	15886	1
1 2 -1 4 -1 1 -1 -2	6764	1
1 -1 3 -1 2 -1 -2	8844	1
3 -1 2 -1 2 5 -1 -2	6657	1
1 3 4 -1 1 -1 -2	4318	2
1 5 -1 3 -1 3 -1 -2	12927	1
1 -1 2 -1 1 -1 4 -1 -2	6399	1
1 -1 3 5 -1 2 -1 -2	7694	1
1 -1 5 -1 1 4 -1 -2	12656	1
1 -1 1 3 -1 4 -1 -2	5650	2
2 -1 1 5 -1 2 -1 -2	16218	2
5 -1 3 5 -1 4 -1 -2	6123	1
5 -1 6 -1 1 -1 1 -1 -2	4082	1
1 -1 3 4 -1 6 -1 -2	786	1
1 -1 1 5 -1 1 -1 -2	45339	7
2 -1 5 6 -1 1 -1 -2	2211	1
2 -1 1 5 -1 1 -1 -2	18988	5
3 -1 2 -1 1 -1 5 -1 -2	6875	1
3 -1 2 -1 -2	11008	1
2 -1 5 6 -1 5 -1 -2	2329	1
1 -1 1 -1 2 -1 3 -1 -2	7286	1
1 -1 2 3 -1 -2	7415	1
1 6 -1 5 6 -1 -2	3091	1
1 -1 3 -1 5 -1 4 -1 -2	5141	1
2 -1 1 -1 2 5 -1 -2	15808	3
2 -1 1 -1 3 -1 4 -1 -2	2971	1
1 -1 1 -1 1 -1 3 -1 -2	15373	2
5 -1 1 -1 2 -1 1 -1 -2	17672	3
1 -1 5 -1 4 -1 -2	15286	2
1 -1 1 -1 4 -1 5 -1 -2	12371	1
2 -1 3 5 -1 5 -1 -2	8007	1
3 4 -1 3 -1 -2	4842	1
1 -1 2 -1 2 -1 4 -1 -2	5339	1
6 -1 2 -1 1 -1 2 -1 -2	1718	1
5 -1 3 -1 1 -1 -2	17399	1
3 -1 1 -1 1 -1 2 -1 -2	7023	1
1 -1 5 -1 2 -1 1 -1 -2	17696	2
5 -1 4 5 -1 -2	16940	2
1 -1 3 -1 3 5 -1 -2	12437	2
5 -1 2 -1 1 -1 2 -1 -2	14454	1
1 5 -1 5 -1 3 -1 -2	15908	1
1 5 -1 1 -1 5 -1 -2	45663	5
3 -1 1 2 -1 1 -1 -2	7397	1
4 -1 1 4 -1 5 -1 -2	10261	1
1 -1 1 4 -1 4 -1 -2	10734	2
3 4 -1 1 -1 1 -1 -2	4388	1
2 -1 1 5 -1 -2	22467	2
2 -1 2 -1 2 5 -1 -2	16347	1
6 -1 1 6 -1 6 -1 -2	2474	1
5 -1 1 3 -1 1 -1 -2	14411	2
1 -1 3 5 -1 1 -1 -2	14647	3
1 -1 6 -1 3 -1 2 -1 -2	1081	1
1 -1 2 -1 1 -1 1 -1 -2	18239	7
1 -1 1 5 -1 2 -1 -2	19465	3
4 -1 1 -1 4 -1 4 -1 -2	8198	1
2 -1 4 -1 2 -1 3 -1 -2	2572	1
1 -1 5 -1 2 -1 -2	22200	1
1 -1 5 -1 2 5 -1 -2	19091	1
1 2 -1 2 -1 1 -1 -2	16203	1
5 -1 5 -1 1 -1 1 -1 -2	42080	4
6 -1 3 -1 1 -1 3 -1 -2	1413	1
1 -1 4 -1 1 -1 1 -1 -2	12593	2
4 -1 2 -1 1 -1 3 -1 -2	3067	1
1 -1 1 4 -1 1 -1 -2	13325	3
1 -1 3 4 -1 -2	5156	2
1 5 -1 5 -1 -2	53389	6
4 -1 3 -1 1 -1 2 -1 -2	3058	1
1 5 -1 -2	58721	1
2 -1 1 -1 5 -1 2 -1 -2	14275	1
1 2 3 -1 2 -1 -2	5306	1
5 -1 6 -1 1 -1 5 -1 -2	4170	1
4 -1 3 -1 1 -1 4 -1 -2	3924	1
5 -1 1 -1 1 -1 4 -1 -2	12348	1
1 -1 5 -1 1 -1 3 -1 -2	14155	2
1 -1 1 -1 3 -1 5 -1 -2	14102	3
5 -1 5 -1 5 6 -1 -2	4756	1
1 -1 2 -1 2 -1 5 -1 -2	14538	1
3 -1 5 -1 1 3 -1 -2	12151	1
5 -1 1 3 -1 -2	16805	1
6 -1 1 -1 1 -1 1 -1 -2	4158	1
4 -1 3 -1 1 5 -1 -2	5727	1
1 -1 3 -1 1 -1 -2	18379	3
4 -1 1 -1 1 -1 2 -1 -2	6346	2
1 6 -1 3 -1 3 -1 -2	1552	2
2 -1 2 5 -1 1 -1 -2	16225	1
3 -1 5 -1 5 -1 -2	19541	2
1 -1 5 -1 1 6 -1 -2	4071	1
3 -1 4 -1 4 -1 5 -1 -2	4027	1
2 4 -1 4 -1 1 -1 -2	4736	1
1 4 -1 3 -1 5 -1 -2	5435	2
5 -1 3 -1 4 -1 1 -1 -2	5196	1
5 -1 1 -1 6 -1 3 -1 -2	1803	1
5 -1 2 -1 1 -1 -2	22179	1
4 -1 5 -1 4 -1 4 -1 -2	8681	1
1 -1 1 -1 2 3 -1 -2	6389	3
4 -1 2 -1 5 -1 4 -1 -2	5046	1
1 3 -1 1 5 -1 -2	15073	1
5 -1 1 -1 3 -1 5 -1 -2	14389	1
4 -1 3 -1 1 2 -1 -2	3300	1
2 -1 5 -1 4 5 -1 -2	7257	1
5 -1 1 -1 5 -1 -2	53031	1
4 -1 2 4 -1 5 -1 -2	4917	1
5 -1 1 4 -1 -2	14820	1
4 5 -1 3 -1 -2	6889	1
5 -1 5 -1 1 -1 -2	53691	1
1 5 6 -1 1 -1 -2	4125	1
3 6 -1 1 -1 5 -1 -2	1385	1
4 -1 5 6 -1 4 -1 -2	1372	1
5 -1 2 -1 2 5 -1 -2	18723	1
5 -1 4 -1 1 5 -1 -2	13725	2
5 -1 5 -1 -2	77235	3
3 5 -1 2 5 -1 -2	8460	1
1 -1 5 -1 5 -1 1 -1 -2	41587	1
2 -1 1 3 -1 3 -1 -2	6139	1
1 2 5 -1 1 -1 -2	17548	2
1 5 -1 1 5 -1 -2	48120	8
1 5 -1 1 -1 3 -1 -2	15597	2
5 -1 1 -1 1 4 -1 -2	12681	2
5 -1 1 -1 2 -1 2 -1 -2	14458	1
6 -1 6 -1 1 -1 2 -1 -2	1466	1
2 -1 5 -1 -2	29118	1
2 -1 1 -1 1 3 -1 -2	7553	1
3 -1 1 2 -1 6 -1 -2	1201	1
3 -1 1 4 -1 2 -1 -2	3310	1
4 -1 5 -1 1 -1 1 -1 -2	11886	1
2 -1 4 -1 1 -1 2 -1 -2	5082	2
3 -1 2 -1 2 -1 -2	7778	1
4 -1 3 5 -1 5 -1 -2	5953	1
3 5 -1 1 -1 3 -1 -2	12411	1
1 -1 1 -1 4 -1 -2	16021	1
1 -1 4 -1 1 -1 2 -1 -2	6358	1
1 -1 4 -1 5 -1 1 -1 -2	11921	1
1 4 -1 1 -1 4 -1 -2	10650	1
1 -1 4 -1 4 -1 1 -1 -2	9921	2
1 3 -1 1 -1 5 -1 -2	14223	1
1 5 -1 2 -1 1 -1 -2	19395	1
2 5 -1 5 -1 1 -1 -2	18978	1
3 -1 1 5 -1 3 -1 -2	12784	2
6 -1 3 -1 1 -1 4 -1 -2	869	1
1 3 4 -1 4 -1 -2	3667	1
1 -1 4 -1 2 -1 3 -1 -2	3097	1
5 6 -1 5 -1 1 -1 -2	4398	1
5 -1 4 -1 1 -1 -2	15226	1
4 -1 4 -1 1 -1 1 -1 -2	10011	1
1 -1 4 -1 1 3 -1 -2	5579	1
1 5 -1 4 -1 1 -1 -2	13476	1
2 -1 1 -1 1 4 -1 -2	6754	1
1 -1 5 -1 1 -1 4 -1 -2	12239	1
1 -1 1 -1 2 -1 -2	23030	1
2 -1 1 3 -1 5 -1 -2	7318	1
5 -1 1 -1 2 -1 6 -1 -2	2079	1
2 -1 5 -1 5 -1 4 -1 -2	6729	1
1 2 -1 2 -1 -2	19396	1
2 -1 2 5 -1 3 -1 -2	6992	2
1 -1 1 4 5 -1 -2	12319	1
3 5 -1 1 3 -1 -2	12726	1
2 5 -1 2 3 -1 -2	6059	1
1 2 -1 1 3 -1 -2	7803	1
3 5 -1 1 5 -1 -2	15820	2
1 -1 2 3 -1 1 -1 -2	6293	2
1 3 -1 3 -1 4 -1 -2	4620	1
1 2 -1 2 -1 4 -1 -2	5829	1
5 -1 5 -1 4 -1 4 -1 -2	10661	1
5 -1 1 -1 2 -1 5 -1 -2	18095	1
6 -1 3 -1 1 6 -1 -2	1241	1
2 -1 5 -1 1 2 -1 -2	15317	1
4 5 -1 4 -1 -2	14074	1
4 -1 1 -1 1 3 -1 -2	5532	3
5 -1 3 5 -1 -2	19696	1
5 6 -1 1 5 -1 -2	4680	2
1 -1 1 -1 2 -1 1 -1 -2	18414	1
1 -1 1 3 -1 -2	18024	2
1 5 -1 3 -1 4 -1 -2	5878	1
1 -1 3 -1 1 -1 3 -1 -2	12087	2
1 5 -1 2 -1 2 -1 -2	16413	2
1 -1 4 -1 1 2 -1 -2	6881	2
6 -1 5 6 -1 1 -1 -2	3080	1
6 -1 6 -1 1 4 -1 -2	1285	1
5 -1 2 -1 3 5 -1 -2	8255	1
1 5 -1 1 -1 4 -1 -2	13704	1
1 2 -1 2 -1 5 -1 -2	15483	1
5 -1 2 -1 4 -1 5 -1 -2	6798	1
6 -1 2 -1 5 6 -1 -2	1561	1
2 -1 3 5 -1 1 -1 -2	7518	1
4 5 -1 3 -1 1 -1 -2	5546	1
3 -1 5 -1 4 -1 3 -1 -2	4284	1
5 -1 4 -1 5 -1 4 -1 -2	10584	1
5 -1 5 -1 4 -1 3 -1 -2	5671	1
2 -1 2 -1 1 -1 4 -1 -2	5330	1
1 -1 1 -1 -2	70650	4
1 6 -1 3 -1 1 -1 -2	1891	1
4 5 -1 1 -1 3 -1 -2	5559	1
3 -1 5 -1 3 -1 3 -1 -2	10972	1
2 -1 4 -1 1 -1 1 -1 -2	6270	1
4 -1 4 -1 1 -1 -2	13060	1
5 -1 5 -1 1 -1 4 -1 -2	12559	1
1 -1 4 -1 2 4 -1 -2	4650	1
5 -1 1 -1 1 -1 2 -1 -2	17631	1
2 5 -1 1 -1 1 -1 -2	18320	2
3 -1 2 -1 2 -1 1 -1 -2	5777	1
1 -1 4 -1 4 -1 -2	12934	1
4 -1 1 -1 4 -1 5 -1 -2	9509	1
1 -1 1 -1 3 5 -1 -2	14940	2
2 5 -1 5 -1 5 -1 -2	21927	2
3 -1 3 -1 -2	22143	1
1 3 -1 4 -1 -2	6471	1
2 -1 1 -1 2 -1 1 -1 -2	15004	2
1 -1 3 -1 2 -1 1 -1 -2	7036	1
2 -1 2 -1 4 5 -1 -2	6085	1
1 4 -1 5 -1 1 -1 -2	12363	1
1 -1 1 -1 2 -1 4 -1 -2	6386	1
5 -1 1 -1 1 -1 1 -1 -2	41939	3
5 -1 5 -1 2 -1 2 -1 -2	16802	1
1 -1 1 5 -1 3 -1 -2	15522	2
2 5 -1 1 -1 5 -1 -2	18772	3
1 -1 1 -1 4 -1 4 -1 -2	9827	3
5 -1 1 5 -1 2 -1 -2	19936	3
4 5 -1 3 -1 5 -1 -2	5944	1
5 -1 1 -1 5 -1 1 -1 -2	41832	2
3 -1 1 5 -1 5 -1 -2	15358	1
6 -1 4 -1 -2	2647	1
4 -1 5 -1 1 -1 5 -1 -2	12154	1
1 -1 5 -1 2 -1 2 -1 -2	14425	1
4 -1 5 -1 6 -1 2 -1 -2	978	1
1 -1 1 6 -1 1 -1 -2	4376	2
3 -1 5 -1 5 -1 2 -1 -2	7485	1
2 -1 1 -1 1 -1 5 -1 -2	17144	1
2 -1 1 -1 4 -1 -2	7874	1
1 3 5 -1 2 -1 -2	7653	1
5 6 -1 2 -1 2 -1 -2	2030	1
1 -1 2 -1 1 5 -1 -2	19239	3
4 -1 4 -1 4 -1 5 -1 -2	9189	1
2 -1 5 -1 1 -1 3 -1 -2	7102	1
5 -1 5 -1 2 -1 1 -1 -2	18448	1
5 -1 1 -1 -2	61810	1
1 4 -1 2 -1 1 -1 -2	6796	1
2 5 -1 1 4 -1 -2	7018	1
1 5 -1 5 -1 5 -1 -2	46753	2
2 -1 1 4 -1 4 -1 -2	5238	1
1 3 -1 3 5 -1 -2	12612	1
5 -1 1 4 5 -1 -2	12532	1
3 5 -1 1 -1 -2	17274	1
3 -1 1 5 -1 1 -1 -2	15006	4
2 5 -1 2 5 -1 -2	20119	1
2 -1 2 3 -1 1 -1 -2	5528	1
5 -1 1 -1 6 -1 1 -1 -2	4000	1
1 -1 1 2 4 -1 -2	5353	2
2 5 -1 1 -1 2 -1 -2	15883	1
4 -1 2 -1 3 -1 5 -1 -2	3093	1
6 -1 3 -1 2 -1 5 -1 -2	1061	1
4 -1 1 2 5 -1 -2	6957	1
3 5 -1 1 2 -1 -2	7680	1
5 -1 1 5 -1 -2	53537	1
1 -1 2 -1 4 -1 1 -1 -2	6355	2
1 -1 3 6 -1 6 -1 -2	964	1
1 -1 2 -1 5 -1 2 -1 -2	14440	2
1 -1 6 -1 3 -1 5 -1 -2	1787	1
1 -1 2 5 -1 5 -1 -2	18875	1
1 4 -1 4 5 -1 -2	10647	1
5 -1 5 -1 2 5 -1 -2	22380	1
1 -1 1 6 -1 6 -1 -2	2938	1
2 -1 3 -1 2 -1 3 -1 -2	4954	1
5 -1 5 -1 3 -1 5 -1 -2	16546	1
1 -1 2 -1 6 -1 1 -1 -2	2058	1
1 -1 5 -1 5 -1 4 -1 -2	12535	1
1 -1 3 -1 1 2 -1 -2	7532	1
1 2 -1 1 -1 3 -1 -2	7611	2
4 5 -1 5 -1 1 -1 -2	12994	1
5 -1 6 -1 3 -1 6 -1 -2	1117	1
5 -1 4 5 -1 2 -1 -2	7526	1
3 -1 1 -1 3 -1 5 -1 -2	11244	1
2 -1 3 -1 2 -1 2 -1 -2	5218	1
5 -1 1 2 3 -1 -2	5876	1
2 -1 2 -1 5 -1 5 -1 -2	16997	1
2 5 -1 2 -1 3 -1 -2	7032	1
1 2 -1 2 -1 6 -1 -2	1956	1
5 -1 3 -1 3 5 -1 -2	14292	1
2 -1 1 -1 4 -1 5 -1 -2	6368	1
2 -1 2 -1 2 -1 1 -1 -2	13363	1
2 -1 4 -1 5 -1 -2	8164	1
5 -1 4 -1 1 6 -1 -2	1710	1
3 -1 4 -1 1 -1 4 -1 -2	3807	1
2 -1 1 -1 5 -1 3 -1 -2	7087	1
1 -1 3 -1 3 -1 1 -1 -2	11823	2
4 -1 1 -1 -2	18786	1
1 -1 1 3 -1 5 -1 -2	14472	1
4 -1 1 -1 4 5 -1 -2	10265	1
1 -1 5 -1 4 -1 1 -1 -2	12163	1
1 -1 4 -1 4 -1 4 -1 -2	8260	1
2 5 -1 1 -1 -2	21778	1
1 2 -1 4 -1 2 -1 -2	5761	1
1 2 -1 2 5 -1 -2	16078	1
2 6 -1 1 -1 1 -1 -2	1772	1
2 -1 4 5 -1 5 -1 -2	7260	1
3 -1 1 -1 1 -1 6 -1 -2	1800	1
3 6 -1 5 -1 1 -1 -2	1388	1
4 5 -1 -2	18649	1
3 -1 1 -1 2 3 -1 -2	5415	2
2 -1 4 -1 1 -1 -2	7860	1
4 -1 2 5 -1 1 -1 -2	6945	1
1 -1 1 4 -1 -2	15491	2
4 -1 6 -1 1 -1 -2	1883	1
3 -1 3 -1 4 -1 -2	5643	1
3 -1 1 4 -1 -2	6422	1
2 -1 1 3 -1 1 -1 -2	7443	1
5 -1 4 -1 5 -1 5 -1 -2	13829	1
4 -1 5 -1 3 -1 -2	6666	1
6 -1 1 5 -1 5 -1 -2	4526	1
6 -1 1 -1 1 -1 3 -1 -2	1772	1
5 -1 2 3 -1 4 -1 -2	2949	1
3 5 -1 5 -1 4 -1 -2	5981	1
1 2 -1 5 -1 -2	20731	2
1 -1 5 -1 6 -1 5 -1 -2	4027	1
1 -1 5 -1 4 -1 3 -1 -2	5218	2
4 -1 4 6 -1 -2	1236	1
3 -1 1 3 -1 2 -1 -2	6306	1
2 3 -1 1 2 -1 -2	5685	1
5 -1 2 5 -1 3 -1 -2	8240	1
1 -1 1 3 -1 6 -1 -2	1979	1
3 -1 4 -1 5 -1 1 -1 -2	4990	1
1 -1 1 3 5 -1 -2	14272	1
6 -1 1 -1 1 -1 5 -1 -2	3969	1
2 5 -1 2 6 -1 -2	1740	1
2 -1 4 -1 2 4 -1 -2	4249	1
2 -1 2 -1 2 -1 -2	21226	1
4 -1 1 -1 1 4 -1 -2	10620	2
2 -1 5 -1 5 -1 5 -1 -2	20291	1
1 4 5 -1 3 -1 -2	5652	1
3 -1 1 -1 1 -1 -2	17988	1
1 5 -1 4 5 -1 -2	13950	1
4 -1 1 -1 2 -1 5 -1 -2	6347	1
5 -1 2 5 -1 1 -1 -2	19163	1
5 -1 1 2 -1 -2	21050	1
1 4 -1 2 -1 2 -1 -2	5653	1
5 -1 1 5 -1 5 -1 -2	46706	1
1 -1 3 -1 1 4 -1 -2	5592	3
4 -1 1 -1 1 -1 1 -1 -2	12573	1
4 -1 1 -1 5 -1 -2	14954	1
5 6 -1 1 -1 3 -1 -2	1953	1
3 -1 2 3 -1 1 -1 -2	5377	1
2 -1 1 2 -1 2 -1 -2	14232	1
3 -1 6 -1 4 -1 -2	1073	1
4 -1 5 6 -1 1 -1 -2	1669	1
2 -1 3 -1 1 -1 -2	8664	2
4 -1 1 2 -1 1 -1 -2	6843	1
1 2 6 -1 2 -1 -2	1518	1
1 -1 5 -1 5 -1 5 -1 -2	42980	1
1 4 -1 4 -1 5 -1 -2	10201	1
4 -1 1 -1 2 -1 2 -1 -2	5159	1
5 -1 3 -1 1 2 -1 -2	7407	1
4 -1 1 -1 4 -1 -2	12815	1
1 -1 1 2 -1 1 -1 -2	18948	3
6 -1 5 -1 -2	6354	1
1 5 -1 1 6 -1 -2	4453	2
1 -1 3 -1 3 -1 -2	15643	2
2 3 -1 1 -1 5 -1 -2	6153	1
5 -1 4 5 -1 1 -1 -2	13094	1
5 -1 1 -1 1 -1 5 -1 -2	41877	3
4 -1 6 -1 3 -1 5 -1 -2	850	1
5 -1 2 -1 5 -1 -2	25519	1
2 5 -1 -2	27709	1
1 5 -1 5 -1 6 -1 -2	4580	1
4 -1 4 -1 4 -1 1 -1 -2	8629	1
5 -1 5 -1 1 -1 2 -1 -2	18176	1
1 5 -1 4 -1 -2	16065	1
1 2 -1 1 -1 4 -1 -2	6851	1
2 -1 5 -1 2 3 -1 -2	5712	2
1 -1 5 -1 2 -1 3 -1 -2	7171	1
3 -1 5 -1 1 -1 1 -1 -2	13619	1
4 -1 5 -1 4 5 -1 -2	11682	1
6 -1 1 -1 5 -1 2 -1 -2	2103	1
3 -1 5 -1 2 -1 1 -1 -2	6962	1
1 -1 1 -1 2 4 -1 -2	5643	1
5 -1 5 6 -1 1 -1 -2	4366	1
3 -1 2 -1 1 2 -1 -2	6213	1
5 -1 2 -1 1 3 -1 -2	7536	1
2 -1 3 -1 2 -1 1 -1 -2	5785	1
1 3 -1 3 -1 5 -1 -2	12048	1
